algorithm,metric,x,y_mean,y_min,y_max
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,0,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,50,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,100,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,150,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,200,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,250,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,300,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,350,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,400,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,450,0.125,0.125,0.125
FedDyn lr_0p001_e4_alpha_0p01,server balanced accuracy,500,0.5186329319309126,0.5186329319309126,0.5186329319309126
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,0,0.48722774939499863,0.48722774939499863,0.48722774939499863
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,50,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,100,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,150,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,200,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,250,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,300,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,350,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,400,0.03764452809895133,0.03764452809895133,0.03764452809895133
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,450,0.03764452809895133,0.03764452809895133,0.03764452809895133
FedDyn lr_0p001_e4_alpha_0p01,server accuracy,500,0.47862328582952407,0.47862328582952407,0.47862328582952407
FedDyn lr_0p001_e4_alpha_0p01,loss,0,10.7140030039703,10.7140030039703,10.7140030039703
FedDyn lr_0p001_e4_alpha_0p01,loss,50,82.47098395917925,82.47098395917925,82.47098395917925
FedDyn lr_0p001_e4_alpha_0p01,loss,100,122.17368305592595,122.17368305592595,122.17368305592595
FedDyn lr_0p001_e4_alpha_0p01,loss,150,119.07732471653804,119.07732471653804,119.07732471653804
FedDyn lr_0p001_e4_alpha_0p01,loss,200,97.92401698264872,97.92401698264872,97.92401698264872
