algorithm,metric,x,y_mean,y_min,y_max
FedDyn green candidate,server balanced accuracy,0,0.125,0.125,0.125
FedDyn green candidate,server balanced accuracy,100,0.125,0.125,0.125
FedDyn green candidate,server balanced accuracy,200,0.125,0.125,0.125
FedDyn green candidate,server balanced accuracy,300,0.125,0.125,0.125
FedDyn green candidate,server balanced accuracy,400,0.12518899895724714,0.12518899895724714,0.12518899895724714
FedDyn green candidate,server balanced accuracy,500,0.125,0.125,0.125
FedDyn green candidate,server balanced accuracy,600,0.12855839416058393,0.12855839416058393,0.12855839416058393
FedDyn green candidate,server balanced accuracy,700,0.12875723366641575,0.12875723366641575,0.12875723366641575
FedDyn green candidate,server balanced accuracy,800,0.2147408219809272,0.2147408219809272,0.2147408219809272
FedDyn green candidate,server balanced accuracy,900,0.3544925474403442,0.3544925474403442,0.3544925474403442
FedDyn green candidate,server balanced accuracy,1000,0.4806610376582314,0.4806610376582314,0.4806610376582314
FedDyn green candidate,server accuracy,0,0.48722774939499863,0.48722774939499863,0.48722774939499863
FedDyn green candidate,server accuracy,100,0.03764452809895133,0.03764452809895133,0.03764452809895133
FedDyn green candidate,server accuracy,200,0.0112933584296854,0.0112933584296854,0.0112933584296854
FedDyn green candidate,server accuracy,300,0.14735143855875235,0.14735143855875235,0.14735143855875235
FedDyn green candidate,server accuracy,400,0.14573810164022585,0.14573810164022585,0.14573810164022585
FedDyn green candidate,server accuracy,500,0.03764452809895133,0.03764452809895133,0.03764452809895133
FedDyn green candidate,server accuracy,600,0.047593439096531326,0.047593439096531326,0.047593439096531326
FedDyn green candidate,server accuracy,700,0.1508470018822264,0.1508470018822264,0.1508470018822264
FedDyn green candidate,server accuracy,800,0.22371605270233935,0.22371605270233935,0.22371605270233935
FedDyn green candidate,server accuracy,900,0.2608228018284485,0.2608228018284485,0.2608228018284485
FedDyn green candidate,server accuracy,1000,0.42242538316751815,0.42242538316751815,0.42242538316751815
FedDyn green candidate,loss,0,10.708859302545646,10.708859302545646,10.708859302545646
FedDyn green candidate,loss,100,49.54920896337095,49.54920896337095,49.54920896337095
FedDyn green candidate,loss,200,27.197264554329283,27.197264554329283,27.197264554329283
FedDyn green candidate,loss,300,13.418142486306586,13.418142486306586,13.418142486306586
FedDyn green candidate,loss,400,12.133406779102009,12.133406779102009,12.133406779102009
FedDyn green candidate,loss,500,15.06923061916459,15.06923061916459,15.06923061916459
FedDyn green candidate,loss,600,11.91728846110957,11.91728846110957,11.91728846110957
FedDyn green candidate,loss,700,13.296607292952864,13.296607292952864,13.296607292952864
FedDyn green candidate,loss,800,13.09430136373973,13.09430136373973,13.09430136373973
FedDyn green candidate,loss,900,4.903038261759913,4.903038261759913,4.903038261759913
FedDyn green candidate,loss,1000,2.2643126375141462,2.2643126375141462,2.2643126375141462
