algorithm,metric,x,y_mean,y_min,y_max
FedLT middle candidate,server balanced accuracy,0,0.12458609271523179,0.12458609271523179,0.12458609271523179
FedLT middle candidate,server balanced accuracy,150,0.18154761904761904,0.18154761904761904,0.18154761904761904
FedLT middle candidate,server balanced accuracy,300,0.18781328320802004,0.18781328320802004,0.18781328320802004
FedLT middle candidate,server balanced accuracy,450,0.2805294486215539,0.2805294486215539,0.2805294486215539
FedLT middle candidate,server balanced accuracy,600,0.32362518182376926,0.32362518182376926,0.32362518182376926
FedLT middle candidate,server balanced accuracy,750,0.3262554108716619,0.3262554108716619,0.3262554108716619
FedLT middle candidate,server balanced accuracy,900,0.37150545200510954,0.37150545200510954,0.37150545200510954
FedLT middle candidate,server balanced accuracy,1050,0.4335201539386232,0.4335201539386232,0.4335201539386232
FedLT middle candidate,server balanced accuracy,1200,0.5500674096944547,0.5500674096944547,0.5500674096944547
FedLT middle candidate,server balanced accuracy,1350,0.6181896669471483,0.6181896669471483,0.6181896669471483
FedLT middle candidate,server balanced accuracy,1500,0.6708857859378901,0.6708857859378901,0.6708857859378901
FedLT middle candidate,server accuracy,0,0.4861521914493143,0.4861521914493143,0.4861521914493143
FedLT middle candidate,server accuracy,150,0.015595590212422693,0.015595590212422693,0.015595590212422693
FedLT middle candidate,server accuracy,300,0.01720892713094918,0.01720892713094918,0.01720892713094918
FedLT middle candidate,server accuracy,450,0.03576230169400377,0.03576230169400377,0.03576230169400377
FedLT middle candidate,server accuracy,600,0.05592901317558484,0.05592901317558484,0.05592901317558484
FedLT middle candidate,server accuracy,750,0.08308685130411401,0.08308685130411401,0.08308685130411401
FedLT middle candidate,server accuracy,900,0.08201129335842969,0.08201129335842969,0.08201129335842969
FedLT middle candidate,server accuracy,1050,0.14869588599085776,0.14869588599085776,0.14869588599085776
FedLT middle candidate,server accuracy,1200,0.3105673568163485,0.3105673568163485,0.3105673568163485
FedLT middle candidate,server accuracy,1350,0.46732992739983864,0.46732992739983864,0.46732992739983864
FedLT middle candidate,server accuracy,1500,0.7090615756923905,0.7090615756923905,0.7090615756923905
FedLT middle candidate,loss,0,10.542380722174816,10.542380722174816,10.542380722174816
FedLT middle candidate,loss,150,21.53291622461866,21.53291622461866,21.53291622461866
FedLT middle candidate,loss,300,19.734555250836245,19.734555250836245,19.734555250836245
FedLT middle candidate,loss,450,18.589950586964626,18.589950586964626,18.589950586964626
FedLT middle candidate,loss,600,14.122323999030149,14.122323999030149,14.122323999030149
FedLT middle candidate,loss,750,10.592322173677067,10.592322173677067,10.592322173677067
FedLT middle candidate,loss,900,10.35078647314976,10.35078647314976,10.35078647314976
FedLT middle candidate,loss,1050,7.439373421149494,7.439373421149494,7.439373421149494
FedLT middle candidate,loss,1200,3.9144526788196146,3.9144526788196146,3.9144526788196146
FedLT middle candidate,loss,1350,1.5804496515556197,1.5804496515556197,1.5804496515556197
FedLT middle candidate,loss,1500,0.35483961471865305,0.35483961471865305,0.35483961471865305
