algorithm,metric,x,y_mean,y_min,y_max
FedLT lr 0.001 candidate,server balanced accuracy,0,0.1346571176260424,0.1346571176260424,0.1346571176260424
FedLT lr 0.001 candidate,server balanced accuracy,150,0.22891604010025063,0.22891604010025063,0.22891604010025063
FedLT lr 0.001 candidate,server balanced accuracy,300,0.2482456140350877,0.2482456140350877,0.2482456140350877
FedLT lr 0.001 candidate,server balanced accuracy,450,0.2688772449805605,0.2688772449805605,0.2688772449805605
FedLT lr 0.001 candidate,server balanced accuracy,600,0.3054508911293,0.3054508911293,0.3054508911293
FedLT lr 0.001 candidate,server balanced accuracy,750,0.4043476375517989,0.4043476375517989,0.4043476375517989
FedLT lr 0.001 candidate,server balanced accuracy,900,0.4954008595152346,0.4954008595152346,0.4954008595152346
FedLT lr 0.001 candidate,server balanced accuracy,1050,0.5253365194462134,0.5253365194462134,0.5253365194462134
FedLT lr 0.001 candidate,server balanced accuracy,1200,0.5613933368732416,0.5613933368732416,0.5613933368732416
FedLT lr 0.001 candidate,server balanced accuracy,1350,0.6663424555926947,0.6663424555926947,0.6663424555926947
FedLT lr 0.001 candidate,server balanced accuracy,1500,0.6866631623567699,0.6866631623567699,0.6866631623567699
FedLT lr 0.001 candidate,server accuracy,0,0.411938693197096,0.411938693197096,0.411938693197096
FedLT lr 0.001 candidate,server accuracy,150,0.019628932508738907,0.019628932508738907,0.019628932508738907
FedLT lr 0.001 candidate,server accuracy,300,0.025006722237160526,0.025006722237160526,0.025006722237160526
FedLT lr 0.001 candidate,server accuracy,450,0.02850228556063458,0.02850228556063458,0.02850228556063458
FedLT lr 0.001 candidate,server accuracy,600,0.046517881150847,0.046517881150847,0.046517881150847
FedLT lr 0.001 candidate,server accuracy,750,0.10621134713632698,0.10621134713632698,0.10621134713632698
FedLT lr 0.001 candidate,server accuracy,900,0.2186071524603388,0.2186071524603388,0.2186071524603388
FedLT lr 0.001 candidate,server accuracy,1050,0.35842968539930087,0.35842968539930087,0.35842968539930087
FedLT lr 0.001 candidate,server accuracy,1200,0.3769830599623555,0.3769830599623555,0.3769830599623555
FedLT lr 0.001 candidate,server accuracy,1350,0.6017746706103791,0.6017746706103791,0.6017746706103791
FedLT lr 0.001 candidate,server accuracy,1500,0.7106749126109169,0.7106749126109169,0.7106749126109169
FedLT lr 0.001 candidate,loss,0,10.552960534919611,10.552960534919611,10.552960534919611
FedLT lr 0.001 candidate,loss,150,15.343954125230226,15.343954125230226,15.343954125230226
FedLT lr 0.001 candidate,loss,300,19.786168474010022,19.786168474010022,19.786168474010022
FedLT lr 0.001 candidate,loss,450,16.843717487297912,16.843717487297912,16.843717487297912
FedLT lr 0.001 candidate,loss,600,15.321005375694037,15.321005375694037,15.321005375694037
FedLT lr 0.001 candidate,loss,750,11.728410003574242,11.728410003574242,11.728410003574242
FedLT lr 0.001 candidate,loss,900,6.271625049238036,6.271625049238036,6.271625049238036
FedLT lr 0.001 candidate,loss,1050,4.493900161413607,4.493900161413607,4.493900161413607
FedLT lr 0.001 candidate,loss,1200,3.283274186175768,3.283274186175768,3.283274186175768
FedLT lr 0.001 candidate,loss,1350,1.274157292231709,1.274157292231709,1.274157292231709
FedLT lr 0.001 candidate,loss,1500,0.44029482744003173,0.44029482744003173,0.44029482744003173
