status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_balanced_accuracy_mean,server_balanced_accuracy_margin_of_error,server_accuracy_mean,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,reference,reference_FedNova_FedNova_reference_0,fednova,FedNova,FedNova,reference_0,0.697069807848,0.0,0.7383705297122882,0.3595974692541384,0.0,2686.151,,0.01,3,,,0.5,,,,True,False,False,,,,,,,,,,
ok,reference,reference_FedNova_FedNova_reference_1,fednova,FedNova,FedNova,reference_1,0.5255943521070959,0.0,0.41570314600699115,2.4528919312690216,0.0,2711.81,,0.01,3,,,,,,,False,False,True,0.9,,,,,,,,,
ok,reference,reference_FedNova_FedNova_reference_2,fednova,FedNova,FedNova,reference_2,0.7004426519578097,0.0,0.7171282602850229,0.4820212633729744,0.0,2696.611,,0.01,3,0.001,,,,,,False,True,False,,,,,,,,,,
ok,reference,reference_FedNova_FedNova_reference_3,fednova,FedNova,FedNova,reference_3,0.3721710867851089,0.0,0.2920139822532939,4.597144687498804,0.0,2701.622,,0.015780201353739066,3,,,0.5,,,,True,False,True,0.9,,,,,,,,,
ok,reference,reference_FedNova_FedNova_reference_4,fednova,FedNova,FedNova,reference_4,0.48281484899036897,0.0,0.3734874966388814,2.8974169533171215,0.0,2700.294,,0.01,3,0.001,,0.5,,,,True,True,True,0.9,,,,,,,,,
ok,random,random_FedNova_FedNova_prox_random_00,fednova,FedNova,FedNova,prox_random_00,0.5826482216864893,0.0,0.6093035762301694,3.4775852902590696,0.0,3479.368,,0.00040774071639615444,4,0.01,,,,,,,True,,,,,,,,,,,
ok,random,random_FedNova_FedNova_all_three_random_01,fednova,FedNova,FedNova,all_three_random_01,0.6775245207428136,0.0,0.6953482118849152,0.8041552838728494,0.0,1922.066,,0.004199812982497644,2,0.01,,0.5,,,,True,True,True,0.5,,,,,,,,,
ok,random,random_FedNova_FedNova_server_momentum_random_02,fednova,FedNova,FedNova,server_momentum_random_02,0.6296197720140154,0.0,0.6474858833019629,2.388857590321529,0.0,2686.011,,0.0001251157640525496,3,,,,,,,,,True,0.9,,,,,,,,,
ok,random,random_FedNova_FedNova_all_three_random_03,fednova,FedNova,FedNova,all_three_random_03,0.4025856788972228,0.0,0.32239849421887606,5.131811899568925,0.0,2696.596,,0.01123440788706345,3,0.0005,,0.9,,,,True,True,True,0.9,,,,,,,,,
ok,random,random_FedNova_FedNova_all_three_random_04,fednova,FedNova,FedNova,all_three_random_04,0.6904233177766561,0.0,0.7246571659048131,0.22822194899997603,0.0,3455.197,,0.0017440166725506614,4,0.0005,,0.5,,,,True,True,True,0.9,,,,,,,,,
ok,random,random_FedNova_FedNova_all_three_random_05,fednova,FedNova,FedNova,all_three_random_05,0.652820324351994,0.0,0.6700726001613337,1.2161194761879113,0.0,4223.49,,0.00691849036572291,5,0.001,,0.9,,,,True,True,True,0.5,,,,,,,,,
ok,random,random_FedNova_FedNova_all_three_random_06,fednova,FedNova,FedNova,all_three_random_06,0.6355597039048082,0.0,0.6033880075289056,2.1375479488804316,0.0,1135.36,,0.0027069946735365476,1,0.005,,0.5,,,,True,True,True,0.5,,,,,,,,,
ok,random,random_FedNova_FedNova_server_momentum_random_07,fednova,FedNova,FedNova,server_momentum_random_07,0.7113652507879653,0.0,0.7058349018553375,0.584963483753143,0.0,2703.491,,0.0036566949391560726,3,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00183_e2,fednova,FedNova,FedNova,grid_lr_0p00183_e2,0.6554461506350473,0.0,0.654477009948911,1.489339222218278,0.0,1915.667,,0.0018283474695780363,2,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00183_e3,fednova,FedNova,FedNova,grid_lr_0p00183_e3,0.6860563269153004,0.0,0.6964237698305996,1.0198659484528128,0.0,2698.122,,0.0018283474695780363,3,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00183_e4,fednova,FedNova,FedNova,grid_lr_0p00183_e4,0.6903412091763941,0.0,0.7044904544232321,0.7219423370091315,0.0,3482.285,,0.0018283474695780363,4,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00366_e2,fednova,FedNova,FedNova,grid_lr_0p00366_e2,0.6799491612148729,0.0,0.6797526216724926,0.9591567459895151,0.0,1929.686,,0.0036566949391560726,2,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00366_e3,fednova,FedNova,FedNova,grid_lr_0p00366_e3,0.7005607694106855,0.0,0.7028771175047056,0.5155256091850631,0.0,2710.522,,0.0036566949391560726,3,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00366_e4,fednova,FedNova,FedNova,grid_lr_0p00366_e4,0.6921016720204969,0.0,0.7144393654208121,0.3349320307759595,0.0,3171.068,,0.0036566949391560726,4,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00731_e2,fednova,FedNova,FedNova,grid_lr_0p00731_e2,0.6944249452422293,0.0,0.6897015326700726,0.6440963385685868,0.0,1601.055,,0.007313389878312145,2,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00731_e3,fednova,FedNova,FedNova,grid_lr_0p00731_e3,0.7246007830750416,0.0,0.7303038451196558,0.32258130923659367,0.0,2305.367,,0.007313389878312145,3,,,,,,,,,True,0.5,,,,,,,,,
ok,grid,grid_FedNova_FedNova_grid_lr_0p00731_e4,fednova,FedNova,FedNova,grid_lr_0p00731_e4,0.6875562109737277,0.0,0.7195482656628126,0.2103126441603871,0.0,2955.471,,0.007313389878312145,4,,,,,,,,,True,0.5,,,,,,,,,
