status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_balanced_accuracy_mean,server_balanced_accuracy_margin_of_error,server_accuracy_mean,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,reference,reference_FedOpt_FedAdam_reference_0,fedopt,FedOpt,FedAdam,reference_0,0.6865598410597848,0.0,0.710943802097338,0.229326943866445,0.0,1829.058,,0.01,2,,0.0031622777,,0.9,0.9,0.001,,,,,,,,,,,,,
ok,reference,reference_FedOpt_FedYogi_reference_1,fedopt,FedOpt,FedYogi,reference_1,0.6983441417078332,0.0,0.6964237698305996,0.2742260858524203,0.0,1851.151,,0.01,2,,0.0031622777,,0.9,0.9,0.001,,,,,,,,,,,,,
ok,reference,reference_FedOpt_FedAdagrad_reference_2,fedopt,FedOpt,FedAdagrad,reference_2,0.621445468893478,0.0,0.6359236353858564,2.4268337198945296,0.0,1834.751,,0.01,2,,0.0316227766,,0.0,,0.001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedAdam_random_00,fedopt,FedOpt,FedAdam,random_00,0.562955500295905,0.0,0.5641301425114278,0.45839807476396377,0.0,3530.808,,0.00040774071639615444,4,,0.0352112209083893,,0.5,0.9,0.0001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedAdam_random_01,fedopt,FedOpt,FedAdam,random_01,0.28326412394781975,0.0,0.4404409787577306,8.872428412540353,0.0,2697.465,,0.00022630709130805275,3,,0.0001251157640525496,,0.5,0.999,0.001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedAdam_random_02,fedopt,FedOpt,FedAdam,random_02,0.7295180955031001,0.0,0.7432105404678677,0.0446628729770377,0.0,3532.718,,0.008554469418165058,4,,0.0071790218875614565,,0.9,0.9,0.001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedYogi_random_03,fedopt,FedOpt,FedYogi,random_03,0.5898159567616494,0.0,0.6318902930895401,2.4742805378030934,0.0,2689.374,,0.00014434802234040617,3,,0.00691849036572291,,0.9,0.99,0.001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedYogi_random_04,fedopt,FedOpt,FedYogi,random_04,0.6465796909358359,0.0,0.6275880613068029,0.7644975493897707,0.0,2686.601,,0.00015123456958128232,3,,0.0027069946735365476,,0.0,0.9,0.0001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedYogi_random_05,fedopt,FedOpt,FedYogi,random_05,0.7056319359505565,0.0,0.727346060769024,0.08137326889271031,0.0,2691.812,,0.0036566949391560726,3,,0.00018512872049810444,,0.0,0.999,1e-06,,,,,,,,,,,,,
ok,random,random_FedOpt_FedAdagrad_random_06,fedopt,FedOpt,FedAdagrad,random_06,0.45384450335918824,0.0,0.4987899973111051,5.96485533825856,0.0,1860.811,,0.00019825605437416983,2,,0.001224688828401127,,0.5,,0.001,,,,,,,,,,,,,
ok,random,random_FedOpt_FedYogi_random_07,fedopt,FedOpt,FedYogi,random_07,0.6655640295889449,0.0,0.6552836784081743,0.771244066696188,0.0,1882.582,,0.005385592324579366,2,,0.0013860292941233934,,0.0,0.99,0.001,,,,,,,,,,,,,
ok,grid,grid_FedOpt_FedAdam_grid_lr_0p00428_e3,fedopt,FedOpt,FedAdam,grid_lr_0p00428_e3,0.6915541148986839,0.0,0.7260016133369185,0.0976019120579807,0.0,2675.654,,0.004277234709082529,3,,0.014358043775122913,,0.9,0.9,0.001,,,,,,,,,,,,,
ok,grid,grid_FedOpt_FedAdam_grid_lr_0p00428_e5,fedopt,FedOpt,FedAdam,grid_lr_0p00428_e5,0.7135895333891258,0.0,0.7577305727346061,0.034322770577099954,0.0,4384.513,,0.004277234709082529,5,,0.0071790218875614565,,0.9,0.9,0.001,,,,,,,,,,,,,
ok,grid,grid_FedOpt_FedAdam_grid_lr_0p00855_e4,fedopt,FedOpt,FedAdam,grid_lr_0p00855_e4,0.6764503185255035,0.0,0.744286098413552,0.06986724701408112,0.0,3530.149,,0.008554469418165058,4,,0.0071790218875614565,,0.9,0.9,0.001,,,,,,,,,,,,,
