algorithm,metric,x,y_mean,y_min,y_max
FedAvg,server accuracy,0,0.040788530465949824,0.03096774193548387,0.05139784946236559
FedAvg,server accuracy,250,0.5893906810035843,0.5539784946236559,0.6165591397849463
FedAvg,server accuracy,500,0.5816487455197132,0.44946236559139785,0.673763440860215
FedAvg,server accuracy,750,0.65584229390681,0.6258064516129033,0.6916129032258065
FedAvg,server accuracy,1000,0.7025089605734767,0.6901075268817204,0.7195698924731183
FedAvg,server accuracy,1250,0.7156989247311829,0.6980645161290323,0.7283870967741936
FedAvg,server accuracy,1500,0.7245878136200717,0.7202150537634409,0.7270967741935483
FedAvg,server accuracy,1750,0.7367741935483871,0.6989247311827957,0.7705376344086021
FedAvg,server accuracy,2000,0.7718279569892473,0.7552688172043011,0.7909677419354839
FedAvg,server accuracy,2250,0.7643010752688172,0.7501075268817204,0.7748387096774193
FedAvg,server accuracy,2500,0.7998566308243727,0.792258064516129,0.8038709677419354
FedAvg,server balanced accuracy,0,0.12498029124072489,0.12182471547084625,0.13068759720902454
FedAvg,server balanced accuracy,250,0.3971561325425548,0.3397551965039186,0.4433975417771484
FedAvg,server balanced accuracy,500,0.4603545083591518,0.41296101875747665,0.5224790833788113
FedAvg,server balanced accuracy,750,0.5324288261667915,0.4249593556704889,0.627731326688364
FedAvg,server balanced accuracy,1000,0.5686751134388436,0.46384161744938157,0.6628522013848254
FedAvg,server balanced accuracy,1250,0.6760098823870443,0.6458903854935512,0.7017677567313865
FedAvg,server balanced accuracy,1500,0.6904034618279606,0.6710242032540807,0.7144979582030222
FedAvg,server balanced accuracy,1750,0.6941032906212765,0.6659150643360925,0.716865219413501
FedAvg,server balanced accuracy,2000,0.7280573204954419,0.706961615778327,0.7399564966131914
FedAvg,server balanced accuracy,2250,0.7332159614389492,0.713018277584208,0.7446538496401758
FedAvg,server balanced accuracy,2500,0.7583676039065942,0.7537702365461595,0.7638618742029065
FedProx,server accuracy,0,0.04186379928315412,0.016559139784946237,0.06494623655913978
FedProx,server accuracy,250,0.5385663082437276,0.4941935483870968,0.6027956989247312
FedProx,server accuracy,500,0.6559139784946236,0.593763440860215,0.6952688172043011
FedProx,server accuracy,750,0.6570609318996415,0.5954838709677419,0.7034408602150538
FedProx,server accuracy,1000,0.6956272401433692,0.6645161290322581,0.7262365591397849
FedProx,server accuracy,1250,0.6940501792114695,0.6475268817204302,0.7232258064516129
FedProx,server accuracy,1500,0.7201433691756273,0.7120430107526882,0.733763440860215
FedProx,server accuracy,1750,0.7436559139784946,0.7382795698924731,0.7501075268817204
FedProx,server accuracy,2000,0.75247311827957,0.7316129032258064,0.7765591397849463
FedProx,server accuracy,2250,0.7650179211469533,0.76,0.7716129032258064
FedProx,server accuracy,2500,0.7959856630824373,0.7858064516129032,0.8045161290322581
FedProx,server balanced accuracy,0,0.1233948889795549,0.11498583468905585,0.12826871428431968
FedProx,server balanced accuracy,250,0.3184011819534118,0.16702517507834996,0.3991585987728994
FedProx,server balanced accuracy,500,0.5063398427845213,0.29617959834970725,0.6190122189690674
FedProx,server balanced accuracy,750,0.5079859471271422,0.2969829254323749,0.6135980256161617
FedProx,server balanced accuracy,1000,0.6304057738570163,0.6114202166834929,0.6493644442853101
FedProx,server balanced accuracy,1250,0.6499990775371497,0.6381885791434164,0.6642315163602058
FedProx,server balanced accuracy,1500,0.6685314982703647,0.635493938577522,0.687587707132175
FedProx,server balanced accuracy,1750,0.6783917343823943,0.642754793782772,0.7053612831071198
FedProx,server balanced accuracy,2000,0.7051724524238944,0.67890394109994,0.7389600915993377
FedProx,server balanced accuracy,2250,0.7315360250313457,0.7269174869934827,0.737394396502761
FedProx,server balanced accuracy,2500,0.7558885832377267,0.7535233107740311,0.7575825870354882
Scaffold,server accuracy,0,0.2218637992831541,0.06,0.45763440860215054
Scaffold,server accuracy,250,0.4873835125448029,0.4296774193548387,0.5533333333333333
Scaffold,server accuracy,500,0.5717562724014337,0.5518279569892474,0.6017204301075268
Scaffold,server accuracy,750,0.6161290322580646,0.5946236559139785,0.6406451612903226
Scaffold,server accuracy,1000,0.6782795698924731,0.6546236559139785,0.715268817204301
Scaffold,server accuracy,1250,0.690752688172043,0.6625806451612903,0.7174193548387097
Scaffold,server accuracy,1500,0.6903225806451614,0.6698924731182796,0.707741935483871
Scaffold,server accuracy,1750,0.6834408602150538,0.5855913978494623,0.7341935483870968
Scaffold,server accuracy,2000,0.7532616487455197,0.7286021505376344,0.7812903225806451
Scaffold,server accuracy,2250,0.7428673835125448,0.7301075268817204,0.7675268817204302
Scaffold,server accuracy,2500,0.7678136200716846,0.7021505376344086,0.8012903225806451
Scaffold,server balanced accuracy,0,0.1329582979347819,0.1246664641761609,0.14566749752776986
Scaffold,server balanced accuracy,250,0.4775879208506774,0.36739901868390623,0.5540956846667306
Scaffold,server balanced accuracy,500,0.5487851777054432,0.49507769138099905,0.587981865642484
Scaffold,server balanced accuracy,750,0.5807288608611864,0.53552596983456,0.6402818766075655
Scaffold,server balanced accuracy,1000,0.6449295634773512,0.587150299210838,0.7129763713384873
