algorithm,metric,statistic,mean,margin_of_error
FedAvg,server accuracy,,0.7998566308243727,0.01635572296567922
FedAvg,server balanced accuracy,,0.7583676039065942,0.012682152870694963
FedProx,server accuracy,,0.7959856630824373,0.023507842693455072
FedProx,server balanced accuracy,,0.7558885832377267,0.005244639035881127
Scaffold,server accuracy,,0.7678136200716846,0.1412718115456001
Scaffold,server balanced accuracy,,0.7357610462386407,0.10257453167766539
FedNova,server accuracy,,0.7969175627240143,0.02758544130323548
FedNova,server balanced accuracy,,0.7483723471703874,0.01867079958162554
FedAdam,server accuracy,,0.7997132616487456,0.020302823173904305
FedAdam,server balanced accuracy,,0.7542199731286261,0.0027248089227037697
FedLT,server accuracy,,0.7474551971326164,0.03152067573407635
FedLT,server balanced accuracy,,0.7282145657914233,0.025968447499913894
FedDyn,server accuracy,,0.5819354838709677,0.05941416661503651
FedDyn,server balanced accuracy,,0.5982686169612398,0.014973092749680617
FedPD,server accuracy,,0.7964874551971327,0.0038646655325377255
FedPD,server balanced accuracy,,0.7580644451639812,0.016052507947183936
