algorithm,metric,x,y_mean,y_min,y_max
FedAvg,client drift from server,0,0.0,0.0,0.0
FedAvg,client drift from server,250,0.7050628231631385,0.6647302856047949,0.7529394328594208
FedAvg,client drift from server,500,0.4977903250190947,0.4467097918192546,0.5987503826618195
FedAvg,client drift from server,750,0.3603956393069691,0.33848321437835693,0.3995373994112015
FedAvg,client drift from server,1000,0.37290011760261327,0.342580812672774,0.3986489648620288
FedAvg,client drift from server,1250,0.3817716770701938,0.27858830740054447,0.4702245543400447
FedAvg,client drift from server,1500,0.3943579031361473,0.20375328262646994,0.5834241062402725
FedAvg,client drift from server,1750,0.21536814297238985,0.18576618283987045,0.23704839249451956
FedAvg,client drift from server,2000,0.2559293409188588,0.2090825761357943,0.32309821248054504
FedAvg,client drift from server,2250,0.17654496803879738,0.16403622925281525,0.19804061328371367
FedAvg,client drift from server,2500,0.3217613101005554,0.23864510655403137,0.46442098418871564
FedAvg,balanced accuracy,0,0.11852934436337965,0.11618424840260118,0.1213411870307458
FedAvg,balanced accuracy,250,0.29384317878629773,0.26556642697316135,0.3452335030117159
FedAvg,balanced accuracy,500,0.3274222298319898,0.2855900518843982,0.3968512484971465
FedAvg,balanced accuracy,750,0.3970847221927966,0.29714967041808005,0.49105025952662135
FedAvg,balanced accuracy,1000,0.42325567631783567,0.33981799121104767,0.504234232654801
FedAvg,balanced accuracy,1250,0.5353501979956813,0.5057969115176554,0.5625580321630922
FedAvg,balanced accuracy,1500,0.5413819215453688,0.5059230342651025,0.57090862470136
FedAvg,balanced accuracy,1750,0.5662233197668612,0.548653499569155,0.5764566848332019
FedAvg,balanced accuracy,2000,0.5809950803732463,0.5664096575571499,0.5938495152959825
FedAvg,balanced accuracy,2250,0.5930002827701185,0.5764562504258658,0.6078249742100378
FedAvg,balanced accuracy,2500,0.6133742968560378,0.6024315406510081,0.6280941927449094
FedProx,client drift from server,0,0.0,0.0,0.0
FedProx,client drift from server,250,0.6641057729721069,0.5675439685583115,0.8442663649717966
FedProx,client drift from server,500,0.5067930014597045,0.458309439321359,0.5408145040273666
FedProx,client drift from server,750,0.4088858846161101,0.3180490906039874,0.5543856074412664
FedProx,client drift from server,1000,0.5997643619775772,0.30735958615938824,0.9918435215950012
FedProx,client drift from server,1250,0.272862508893013,0.2172451118628184,0.3512442757685979
FedProx,client drift from server,1500,0.30768336562646764,0.2113377203543981,0.4829360644022624
FedProx,client drift from server,1750,0.23212858827577698,0.18143615747491518,0.25999262432257336
FedProx,client drift from server,2000,0.2378361920515696,0.1665396640698115,0.3658526539802551
FedProx,client drift from server,2250,0.2263048899670442,0.14090939114491144,0.3639657149712245
FedProx,client drift from server,2500,0.31912363900078666,0.15750025461117426,0.5323484987020493
FedProx,balanced accuracy,0,0.12856762550793163,0.12455999160583231,0.13519035274885427
FedProx,balanced accuracy,250,0.2638647022279363,0.18233303378301846,0.30933349411920114
FedProx,balanced accuracy,500,0.3770095996542045,0.23668343507901757,0.4564363063150463
FedProx,balanced accuracy,750,0.38975810928391535,0.25150544479988546,0.47477597595183446
FedProx,balanced accuracy,1000,0.459929014279,0.43780443509920475,0.48377654923133645
FedProx,balanced accuracy,1250,0.5106774577227563,0.49062279973971873,0.5475439140875834
FedProx,balanced accuracy,1500,0.5254197181940855,0.5104484286574688,0.5420699594041806
FedProx,balanced accuracy,1750,0.5376367782275631,0.5206330198728949,0.5553379273852531
FedProx,balanced accuracy,2000,0.5549988017353322,0.5235873064217524,0.5731620133699461
FedProx,balanced accuracy,2250,0.5706618029191419,0.5581116277255894,0.5860425253593045
FedProx,balanced accuracy,2500,0.6086860944479552,0.5920232938981032,0.6223700646671952
Scaffold,client drift from server,0,0.0,0.0,0.0
Scaffold,client drift from server,250,1.0828497807184856,0.943444569905599,1.2463217675685883
Scaffold,client drift from server,500,0.7977764921055899,0.66872705022494,0.8804574310779572
Scaffold,client drift from server,750,0.7350010325511297,0.6517036557197571,0.9004693577686945
Scaffold,client drift from server,1000,0.7194208386871551,0.5670769065618515,0.95638640721639
Scaffold,client drift from server,1250,0.664285197854042,0.5499119063218435,0.7665458917617798
Scaffold,client drift from server,1500,0.5773209449317721,0.39105140666166943,0.7693389356136322
Scaffold,client drift from server,1750,0.6497375551197264,0.2876546233892441,1.2433624565601349
Scaffold,client drift from server,2000,0.35881850702895063,0.281951571504275,0.4855161855618159
Scaffold,client drift from server,2250,0.3358289814657635,0.25772686799367267,0.47122804323832196
Scaffold,client drift from server,2500,1.1458413385682635,0.24512742211421332,2.8390930692354837
Scaffold,balanced accuracy,0,0.1286400070348547,0.11957121972966463,0.13466911522361047
Scaffold,balanced accuracy,250,0.3732604931539951,0.2872793477837789,0.46267088387472755
Scaffold,balanced accuracy,500,0.42867226869330316,0.3982310466657743,0.4791387592518988
Scaffold,balanced accuracy,750,0.46860390262474483,0.38808009794701565,0.553693936529627
Scaffold,balanced accuracy,1000,0.4959574613418847,0.44272279072625964,0.5771797620723662
Scaffold,balanced accuracy,1250,0.5253160947335042,0.4734981163698447,0.5788711980852832
Scaffold,balanced accuracy,1500,0.5428729228175401,0.5093086679822355,0.581312321620157
Scaffold,balanced accuracy,1750,0.5629436579724869,0.5133630631225897,0.606704185309842
Scaffold,balanced accuracy,2000,0.5920148342451174,0.5534070603143092,0.6136073835552247
Scaffold,balanced accuracy,2250,0.6052300308391305,0.5942367639179119,0.6156602891262883
Scaffold,balanced accuracy,2500,0.5638296130510458,0.4450628489459591,0.6245357569374043
FedNova,client drift from server,0,0.0,0.0,0.0
FedNova,client drift from server,250,0.46410411596298223,0.330680787563324,0.7197528978188833
FedNova,client drift from server,500,0.26867844495508403,0.23527246216932932,0.3145664731661479
FedNova,client drift from server,750,0.27486204438739353,0.24526609232028326,0.31739604969819385
FedNova,client drift from server,1000,0.22351452459891638,0.2106152003010114,0.24702571580807367
FedNova,client drift from server,1250,0.22746078835593328,0.19636829942464828,0.27332537372907
FedNova,client drift from server,1500,0.1877684800161256,0.12942880019545555,0.2529502386848132
FedNova,client drift from server,1750,0.17808179598715568,0.1326682778696219,0.22506090998649597
FedNova,client drift from server,2000,0.2026524432003498,0.1606643001238505,0.28390203416347504
FedNova,client drift from server,2250,0.12268636334273551,0.11579278856515884,0.12652172272404036
FedNova,client drift from server,2500,0.12417612887091108,0.10439002017180125,0.15696889410416284
FedNova,balanced accuracy,0,0.12764412529634808,0.11537460661694494,0.13994771941456943
FedNova,balanced accuracy,250,0.35537958677172315,0.32236338597442477,0.39804566322340756
FedNova,balanced accuracy,500,0.42976704679457584,0.3843897794395276,0.47068023982584567
FedNova,balanced accuracy,750,0.45978278289615937,0.4407349711840456,0.47664267430477314
FedNova,balanced accuracy,1000,0.4804584217375232,0.41017750007041626,0.5160631470138155
FedNova,balanced accuracy,1250,0.5101367182335317,0.48263837722091796,0.5267040893682302
FedNova,balanced accuracy,1500,0.5537180450307809,0.5249479919289064,0.5970709755835413
FedNova,balanced accuracy,1750,0.5513351186356599,0.5206862053091025,0.5725504622610612
FedNova,balanced accuracy,2000,0.5910322749940954,0.5537957584895625,0.6331286970700645
FedNova,balanced accuracy,2250,0.6028749088600817,0.5886091124319109,0.6259338034294918
FedNova,balanced accuracy,2500,0.6416503765792835,0.634121691439765,0.6462300799021802
FedAdam,client drift from server,0,0.0,0.0,0.0
FedAdam,client drift from server,250,0.27705783810880447,0.24320716907580694,0.30118124683698017
FedAdam,client drift from server,500,0.22242700970835158,0.20709671825170517,0.241471437116464
FedAdam,client drift from server,750,0.16332598941193688,0.15081379438440004,0.18555660297473273
FedAdam,client drift from server,1000,0.14783305467830765,0.12955288589000702,0.17339327683051428
FedAdam,client drift from server,1250,0.13595580764942697,0.11104490980505943,0.15561622629563013
FedAdam,client drift from server,1500,0.11681387449304263,0.10069721564650536,0.13703647380073866
FedAdam,client drift from server,1750,0.14046316304140619,0.1134810708463192,0.1581305811802546
FedAdam,client drift from server,2000,0.11333082781897652,0.09573551391561826,0.13048320387800535
FedAdam,client drift from server,2250,0.11248132172558041,0.09041772410273552,0.14786125471194586
FedAdam,client drift from server,2500,0.11142619388798873,0.08485243283212185,0.15231801569461823
FedAdam,balanced accuracy,0,0.12045583503640032,0.1150252795117596,0.12579143405945153
FedAdam,balanced accuracy,250,0.34002479327891594,0.31801796554728995,0.3792737677760929
FedAdam,balanced accuracy,500,0.3892652849192135,0.3608607422496557,0.4239454778743652
FedAdam,balanced accuracy,750,0.45164492806751716,0.3847551719127948,0.5072960250578359
FedAdam,balanced accuracy,1000,0.4582530166825773,0.41939685194610465,0.5151093211562817
FedAdam,balanced accuracy,1250,0.4939310949290408,0.4113416183363094,0.5653340204008716
FedAdam,balanced accuracy,1500,0.5390459709129468,0.5022185247985075,0.5878408496327051
FedAdam,balanced accuracy,1750,0.5338195969258824,0.48914525689129634,0.5877438558163797
FedAdam,balanced accuracy,2000,0.5465249934541082,0.49830690951330686,0.6095985311927616
FedAdam,balanced accuracy,2250,0.5751907563430912,0.5422491306292786,0.5996686132030719
FedAdam,balanced accuracy,2500,0.6331579187533581,0.6284520492229839,0.6397568210950514
FedLT,client drift from server,0,0.0,0.0,0.0
FedLT,client drift from server,250,1.9349745512008667,1.9264158010482788,1.9395453532536824
