algorithm,metric,statistic,mean,margin_of_error
FedAvg,client drift from server,avg,0.3217613101005554,0.3083009601041334
FedAvg,balanced accuracy,avg,0.6133742968560378,0.03289424361150961
FedProx,client drift from server,avg,0.31912363900078666,0.4786388409383789
FedProx,balanced accuracy,avg,0.6086860944479552,0.03823367144555989
Scaffold,client drift from server,avg,1.1458413385682635,3.6452142190776557
Scaffold,balanced accuracy,avg,0.5638296130510458,0.25552719923473977
FedNova,client drift from server,avg,0.12417612887091108,0.07104869808492667
FedNova,balanced accuracy,avg,0.6416503765792835,0.01632281469568675
FedAdam,client drift from server,avg,0.11142619388798873,0.08927896814400865
FedAdam,balanced accuracy,avg,0.6331579187533581,0.014619978108954768
FedLT,client drift from server,avg,1.9522748390833538,0.007799487197369004
FedLT,balanced accuracy,avg,0.5561655863667992,0.026538727313428767
FedDyn,client drift from server,avg,0.30712103678120506,0.08196795240203136
FedDyn,balanced accuracy,avg,0.44260643142237394,0.03514894504344557
FedPD,client drift from server,avg,0.37667516122261685,0.18701874915513472
FedPD,balanced accuracy,avg,0.6426119250292776,0.008623176993496684
