algorithm,metric,x,y_mean,y_min,y_max
FedAvg,server accuracy,0,0.13469534050179213,0.12301075268817205,0.14473118279569894
FedAvg,server accuracy,250,0.22903225806451613,0.10236559139784947,0.4821505376344086
FedAvg,server accuracy,500,0.23003584229390683,0.10236559139784947,0.48258064516129034
FedAvg,server accuracy,750,0.2946236559139785,0.1113978494623656,0.48408602150537633
FedAvg,server accuracy,1000,0.4615053763440861,0.39763440860215055,0.5038709677419355
FedAvg,server accuracy,1250,0.45125448028673837,0.4036559139784946,0.4858064516129032
FedAvg,server accuracy,1500,0.44050179211469537,0.33763440860215055,0.5105376344086021
FedAvg,server accuracy,1750,0.46207885304659496,0.4316129032258065,0.4997849462365591
FedAvg,server accuracy,2000,0.3810035842293907,0.2860215053763441,0.526236559139785
FedAvg,server accuracy,2250,0.548673835125448,0.4918279569892473,0.5864516129032258
FedAvg,server accuracy,2500,0.5499641577060932,0.5331182795698924,0.5810752688172043
FedAvg,server balanced accuracy,0,0.1267500361260631,0.1137295185511812,0.1353857245310447
FedAvg,server balanced accuracy,250,0.1250488472059398,0.125,0.12514654161781946
FedAvg,server balanced accuracy,500,0.13075765113566185,0.125,0.13746526109929322
FedAvg,server balanced accuracy,750,0.16139755613598517,0.12672110548055082,0.20379267045502425
FedAvg,server balanced accuracy,1000,0.18407061164674307,0.1455612738130317,0.2415099757981644
FedAvg,server balanced accuracy,1250,0.20829621206287396,0.17525775406573801,0.27057093284728884
FedAvg,server balanced accuracy,1500,0.2889908288026442,0.2053614865225446,0.3404317030836715
FedAvg,server balanced accuracy,1750,0.25292963695909815,0.22154481689461736,0.3143414684603352
FedAvg,server balanced accuracy,2000,0.31311636460825243,0.2872595009670556,0.3379968869909862
FedAvg,server balanced accuracy,2250,0.4784808972210221,0.4565326771706768,0.5079324105004691
FedAvg,server balanced accuracy,2500,0.5576576139661747,0.4724643061251078,0.6110289913372041
FedProx,server accuracy,0,0.14358422939068102,0.14172043010752688,0.14473118279569894
FedProx,server accuracy,250,0.4105376344086022,0.26731182795698927,0.4821505376344086
FedProx,server accuracy,500,0.31405017921146955,0.1064516129032258,0.4821505376344086
FedProx,server accuracy,750,0.36838709677419357,0.14580645161290323,0.4821505376344086
FedProx,server accuracy,1000,0.407168458781362,0.2511827956989247,0.4881720430107527
FedProx,server accuracy,1250,0.42616487455197133,0.32688172043010755,0.4821505376344086
FedProx,server accuracy,1500,0.4497491039426523,0.3793548387096774,0.48559139784946237
FedProx,server accuracy,1750,0.46136200716845877,0.41333333333333333,0.49655913978494626
FedProx,server accuracy,2000,0.46931899641577063,0.44,0.5124731182795699
FedProx,server accuracy,2250,0.5217204301075269,0.49333333333333335,0.5372043010752688
FedProx,server accuracy,2500,0.6051612903225806,0.6030107526881721,0.6081720430107527
FedProx,server balanced accuracy,0,0.12915232595470652,0.1259741049547768,0.13542042225344064
FedProx,server balanced accuracy,250,0.13617649077060315,0.125,0.1585294723118095
FedProx,server balanced accuracy,500,0.14398202154669595,0.125,0.18088674260618953
FedProx,server balanced accuracy,750,0.153595630332285,0.125,0.19284659756992756
FedProx,server balanced accuracy,1000,0.1605369901247524,0.125,0.205376307719839
