algorithm,metric,x,y_mean,y_min,y_max
FedAvg,client drift from server,0,0.0,0.0,0.0
FedAvg,client drift from server,250,2.8989321920606823,2.6966553926467896,3.124351660410563
FedAvg,client drift from server,500,2.7708489365047875,2.7164437770843506,2.82794455687205
FedAvg,client drift from server,750,2.8317886723412404,2.5363762776056924,2.992452700932821
FedAvg,client drift from server,1000,2.730006734530131,2.647511045138041,2.832522392272949
FedAvg,client drift from server,1250,2.853373554017809,2.620826482772827,2.986927111943563
FedAvg,client drift from server,1500,3.0974453422758312,2.5625147024790444,3.4648102124532065
FedAvg,client drift from server,1750,2.9006074402067394,2.6820858319600425,3.1801220575968423
FedAvg,client drift from server,2000,2.87156171268887,2.326175053914388,3.243821382522583
FedAvg,client drift from server,2250,2.72092796696557,2.571018656094869,3.011314113934835
FedAvg,client drift from server,2500,2.6289923058615794,2.4739543994267783,2.7725358406702676
FedAvg,balanced accuracy,0,0.12598827518219904,0.119927029092482,0.13104067960861018
FedAvg,balanced accuracy,250,0.12786357254228678,0.122150760362896,0.13272349077196108
FedAvg,balanced accuracy,500,0.14059022841394456,0.13308283559386816,0.14516995414113557
FedAvg,balanced accuracy,750,0.14624657687775133,0.13457035077408633,0.1666128517876593
FedAvg,balanced accuracy,1000,0.1627566138404125,0.13512601183991454,0.2040361608594415
FedAvg,balanced accuracy,1250,0.1787576982585893,0.14933539611364383,0.22417766338546408
FedAvg,balanced accuracy,1500,0.19692835777496934,0.1556034163932874,0.23338398016685655
FedAvg,balanced accuracy,1750,0.20449775097690917,0.18710539804132764,0.21613059973256296
FedAvg,balanced accuracy,2000,0.26594985529845855,0.25330004530897715,0.2900181478764739
FedAvg,balanced accuracy,2250,0.3165473032800283,0.29213138039388187,0.3417888294069522
FedAvg,balanced accuracy,2500,0.4335232431623944,0.37865943644699457,0.48561189910497465
FedProx,client drift from server,0,0.0,0.0,0.0
FedProx,client drift from server,250,3.0945765574773154,2.7776774565378823,3.4477829933166504
FedProx,client drift from server,500,2.734419822692871,2.6181480487187705,2.903311093648275
FedProx,client drift from server,750,2.869109206729465,2.767488400141398,2.9576993385950723
FedProx,client drift from server,1000,2.592648400200738,2.455383857091268,2.673731565475464
FedProx,client drift from server,1250,2.632260176870558,2.56954816977183,2.667114774386088
FedProx,client drift from server,1500,2.7865172889497547,2.4820666313171387,3.17250394821167
FedProx,client drift from server,1750,2.7461103598276773,2.3929776748021445,3.1709323724110923
FedProx,client drift from server,2000,2.526627116733127,2.454615751902262,2.6642659505208335
FedProx,client drift from server,2250,2.652364651362101,2.5491508642832437,2.7066892782847085
FedProx,client drift from server,2500,2.5354274643792043,2.43752121925354,2.7042993704477944
FedProx,balanced accuracy,0,0.12547832886944554,0.12283726212998251,0.12764226955253413
FedProx,balanced accuracy,250,0.1314931824075618,0.12173327589948496,0.13813443385021484
FedProx,balanced accuracy,500,0.13762086000070092,0.12793302335665688,0.1550717000203082
FedProx,balanced accuracy,750,0.14228605653949755,0.12487920011894142,0.16875255616023443
FedProx,balanced accuracy,1000,0.14561611352243856,0.13989994646938733,0.1485120152097524
FedProx,balanced accuracy,1250,0.17435149938888106,0.12600691148249696,0.21022229286909266
FedProx,balanced accuracy,1500,0.19410079696877502,0.13396128630073442,0.23605326967065018
FedProx,balanced accuracy,1750,0.2344261759193463,0.16706655315425165,0.2766025228115816
FedProx,balanced accuracy,2000,0.24759293187370593,0.2172234917091407,0.26658704313466
FedProx,balanced accuracy,2250,0.26169757256036724,0.22693044718676617,0.3149330423562287
