algorithm,metric,statistic,mean,margin_of_error
FedAvg,server accuracy,,0.7868817204301076,0.013920588707641679
FedAvg,server balanced accuracy,,0.749967939225618,0.031607302268191306
FedProx,server accuracy,,0.7808602150537635,0.013889802259249184
FedProx,server balanced accuracy,,0.7455511479235281,0.0023337880073297512
Scaffold,server accuracy,,0.18344086021505376,0.0
Scaffold,server balanced accuracy,,0.125,0.0
FedNova,server accuracy,,0.762652329749104,0.06713876754544723
FedNova,server balanced accuracy,,0.7295761020229644,0.003388886369146582
FedAdam,server accuracy,,0.7852329749103942,0.04041896352851082
FedAdam,server balanced accuracy,,0.7433951887741826,0.024662140710137503
FedLT,server accuracy,,0.7146953405017921,0.013528966503668971
FedLT,server balanced accuracy,,0.6923973949737511,0.07494921798076204
FedDyn,server accuracy,,0.1485304659498208,0.020161764333898186
FedDyn,server balanced accuracy,,0.124959979567749,0.0018456418891845267
FedPD,server accuracy,,0.79584229390681,0.01716456060207039
FedPD,server balanced accuracy,,0.756425497419802,0.029221468404777906
