algorithm,metric,x,y_mean,y_min,y_max
FedAvg,client drift from server,0,0.0,0.0,0.0
FedAvg,client drift from server,250,0.7344060838222504,0.6816388865311941,0.7939445972442627
FedAvg,client drift from server,500,0.8644403152995639,0.4488196869691213,1.6015305419762929
FedAvg,client drift from server,750,0.5832744605011411,0.5536205371220907,0.6197037498156229
FedAvg,client drift from server,1000,0.50953309237957,0.4832073599100113,0.5415791720151901
FedAvg,client drift from server,1250,0.29018406569957733,0.25058606391151744,0.3365121893584728
FedAvg,client drift from server,1500,0.47811445759402377,0.37258434295654297,0.5497604707876841
FedAvg,client drift from server,1750,0.38025613832804894,0.2727905164162318,0.45788534233967465
FedAvg,client drift from server,2000,0.5237042651408249,0.28667520855863887,0.8856596748034159
FedAvg,client drift from server,2250,0.24580324068665504,0.19654441997408867,0.3111991807818413
FedAvg,client drift from server,2500,0.36531060851282543,0.23355487485726675,0.6013179322083791
FedAvg,balanced accuracy,0,0.12619649462946894,0.12560285675818894,0.1267155829265394
FedAvg,balanced accuracy,250,0.24314887687080988,0.21307711065785415,0.2651250277054964
FedAvg,balanced accuracy,500,0.3533361948352971,0.27745470929183896,0.4163735364404295
FedAvg,balanced accuracy,750,0.42033973850354384,0.3697661043623295,0.4875215250093042
FedAvg,balanced accuracy,1000,0.4220630467230637,0.3742751803653406,0.46798541675557886
FedAvg,balanced accuracy,1250,0.46615525599426216,0.43653574202738904,0.5125299698488166
FedAvg,balanced accuracy,1500,0.5109734612863487,0.47686385887377175,0.5374288452135988
FedAvg,balanced accuracy,1750,0.49493911312140887,0.4564297472733421,0.5238929806941094
FedAvg,balanced accuracy,2000,0.5166495090046974,0.4934609175788757,0.5431659634540636
FedAvg,balanced accuracy,2250,0.5690789927425598,0.5598734456206426,0.5826441464033173
FedAvg,balanced accuracy,2500,0.6091633672966124,0.6037015398584035,0.6191381751592481
FedProx,client drift from server,0,0.0,0.0,0.0
FedProx,client drift from server,250,0.5952204879787232,0.4579598903656006,0.7672401169935862
FedProx,client drift from server,500,0.5918642017576429,0.5428418964147568,0.6380003194014231
FedProx,client drift from server,750,0.596598339577516,0.49995532383521396,0.7764250040054321
FedProx,client drift from server,1000,0.39618861758046675,0.2732655331492424,0.5048323372999827
FedProx,client drift from server,1250,0.3765754997730255,0.30750523259242374,0.44939708213011426
FedProx,client drift from server,1500,0.32714997231960297,0.31094564994176227,0.34093864262104034
FedProx,client drift from server,1750,0.3311983173092206,0.2696917951107025,0.36537298063437146
FedProx,client drift from server,2000,0.2796809449791908,0.13624673088391623,0.4565848807493846
FedProx,client drift from server,2250,0.257952191763454,0.2052840068936348,0.35816141217947006
FedProx,client drift from server,2500,0.24665173929598597,0.15349245443940163,0.3238692233959834
FedProx,balanced accuracy,0,0.12628375684398294,0.12461899973024283,0.12819451889387493
FedProx,balanced accuracy,250,0.35538956788452714,0.25785828322348847,0.4344166379210015
FedProx,balanced accuracy,500,0.40149174919503877,0.3145269973280389,0.4488272192306862
FedProx,balanced accuracy,750,0.41021108076980567,0.252156187500803,0.4984178171838934
FedProx,balanced accuracy,1000,0.4588523477321073,0.3887399753360528,0.5292670089220547
FedProx,balanced accuracy,1250,0.5341124245199119,0.4993753003263888,0.5759912200146259
