algorithm,metric,statistic,mean,margin_of_error
FedAvg,gradient norm,,7.236714124679565,37.905553809158675
FedAvg,consensus error,min,1.916377305984497,0.6036009505446756
FedAvg,consensus error,avg,2.0002280175685883,0.5695249239739584
FedAvg,consensus error,max,2.1827876567840576,0.15318440167651382
FedAvg,loss,min,0.1570773462598632,0.27977511065896316
FedAvg,loss,avg,1.8368130833718923,1.631837056758978
FedAvg,loss,max,7.439411771501539,2.7083620760959377
FedAvg,nr x updates,avg,643.25,66.70757486491709
FedAvg,nr x updates,sum,3859.5,400.2454491895028
FedAvg,nr function calls,avg,0.0,0.0
FedAvg,nr function calls,sum,0.0,0.0
FedAvg,nr gradient calls,avg,164672.0,17077.139165418776
FedAvg,nr gradient calls,sum,988032.0,102462.83499251271
FedAvg,nr Hessian calls,avg,0.0,0.0
FedAvg,nr Hessian calls,sum,0.0,0.0
FedAvg,nr proximal calls,avg,0.0,0.0
FedAvg,nr proximal calls,sum,0.0,0.0
FedAvg,nr sent messages,avg,124.19298078562842,10.255732604495591
FedAvg,nr sent messages,sum,869.3508654993989,71.79012823146945
FedAvg,nr received messages,avg,99.26438453889894,8.803593474654562
FedAvg,nr received messages,sum,694.8506917722925,61.625154322581466
FedAvg,nr sent messages dropped,avg,24.928596246726777,1.4521391298399742
FedAvg,nr sent messages dropped,sum,174.50017372708743,10.1649739088802
FedAvg,mse,min,4.168249660786975,0.6206558622826144
FedAvg,mse,avg,5.130370872908188,2.808755117505833
FedAvg,mse,max,6.526458616010855,8.947788681241068
FedAvg,accuracy,min,0.2645861601085482,0.6206558622826175
FedAvg,accuracy,avg,0.43724559023066484,0.021550550773702215
FedAvg,accuracy,max,0.5454545454545454,0.03448088123792303
FedAvg,balanced accuracy,min,0.2919508990643859,0.06564003813493327
FedAvg,balanced accuracy,avg,0.3671831679543891,0.12674367046887258
FedAvg,balanced accuracy,max,0.4194208082180443,0.31669534885029316
FedAvg,precision,min,0.2645861601085482,0.6206558622826175
FedAvg,precision,avg,0.43724559023066484,0.021550550773702215
FedAvg,precision,max,0.5454545454545454,0.03448088123792303
FedAvg,recall,min,0.2645861601085482,0.6206558622826175
FedAvg,recall,avg,0.43724559023066484,0.021550550773702215
FedAvg,recall,max,0.5454545454545454,0.03448088123792303
FedAvg,client drift from server,min,2.3418049812316895,1.3392229473469648
FedAvg,client drift from server,avg,2.5306486884752912,2.2263159703459037
FedAvg,client drift from server,max,2.8352290391921997,2.380403384265157
FedAvg,fraction selected clients,,0.8056666666666666,0.052942519734061055
FedAvg,server mse,,4.031207598371777,6.9651380100604845
FedAvg,server accuracy,,0.533921302578019,0.3189481514507894
FedAvg,server balanced accuracy,,0.4357238807806443,0.10419143973376255
FedLT,gradient norm,,8.978849411010742,3.8973897318845783
FedLT,consensus error,min,66.98820114135742,35.3827067441786
FedLT,consensus error,avg,70.59218406677246,27.691023660543436
FedLT,consensus error,max,72.44665145874023,20.666631533798054
FedLT,loss,min,8.028770754901393,5.893092367711033
FedLT,loss,avg,770380.3366465517,9207002.642528828
FedLT,loss,max,4622026.9728018,55240007.9719065
FedLT,nr x updates,avg,635.3333333333333,10.588503946812011
FedLT,nr x updates,sum,3812.0,63.53102368087366
FedLT,nr function calls,avg,0.0,0.0
FedLT,nr function calls,sum,0.0,0.0
FedLT,nr gradient calls,avg,121984.0,2032.992757787957
FedLT,nr gradient calls,sum,731904.0,12197.956546727684
FedLT,nr Hessian calls,avg,0.0,0.0
FedLT,nr Hessian calls,sum,0.0,0.0
FedLT,nr proximal calls,avg,0.0,0.0
FedLT,nr proximal calls,sum,0.0,0.0
FedLT,nr sent messages,avg,122.78583652757536,1.0891043473801432
FedLT,nr sent messages,sum,859.5008556930275,7.62373043166167
FedLT,nr received messages,avg,97.6929544030022,0.09075869561475258
FedLT,nr received messages,sum,683.8506808210154,0.6353108693035665
FedLT,nr sent messages dropped,avg,25.092882124570544,1.179863042994917
FedLT,nr sent messages dropped,sum,175.65017487199378,8.259041300964611
FedLT,mse,min,4.698778833107191,9.051231324954834
FedLT,mse,avg,12.533129805517866,30.718155072834826
FedLT,mse,max,24.936906377204885,44.057946001756356
FedLT,accuracy,min,0.012211668928086838,0.0
FedLT,accuracy,avg,0.11284486657620986,0.3994035410059437
FedLT,accuracy,max,0.31275440976933516,0.9568444543523682
FedLT,balanced accuracy,min,0.11792425861695358,0.08347555311846741
FedLT,balanced accuracy,avg,0.12344202355434705,0.019138110012784607
FedLT,balanced accuracy,max,0.1252300384125039,0.0004397956906329187
FedLT,precision,min,0.012211668928086838,0.0
FedLT,precision,avg,0.11284486657620986,0.3994035410059437
FedLT,precision,max,0.31275440976933516,0.9568444543523682
FedLT,recall,min,0.012211668928086838,0.0
FedLT,recall,avg,0.11284486657620986,0.3994035410059437
FedLT,recall,max,0.31275440976933516,0.9568444543523682
FedLT,client drift from server,min,366.757080078125,430.57197403726553
FedLT,client drift from server,avg,373.36713663736975,456.4926756454892
FedLT,client drift from server,max,378.6268768310547,469.80947721570635
FedLT,fraction selected clients,,0.7971666666666667,0.0021177007893622424
FedLT,server mse,,11.843962008141112,86.96078248204228
FedLT,server accuracy,,0.24762550881953865,2.0429922133469485
FedLT,server balanced accuracy,,0.10975309468469771,0.017346623254687
FedAdam,gradient norm,,4.32108736038208,3.975002838931848
FedAdam,consensus error,min,4.245789051055908,12.932009801478733
FedAdam,consensus error,avg,5.897936324278514,12.223836397950391
FedAdam,consensus error,max,11.718465328216553,21.225609491883468
FedAdam,loss,min,0.19189969216893524,0.31021761532920505
FedAdam,loss,avg,1.6226870320468794,5.948028112655056
FedAdam,loss,max,6.034716367721558,32.20080908626811
FedAdam,nr x updates,avg,637.3333333333333,2.1177007893627433
FedAdam,nr x updates,sum,3824.0,12.70620473617464
FedAdam,nr function calls,avg,0.0,0.0
FedAdam,nr function calls,sum,0.0,0.0
FedAdam,nr gradient calls,avg,163157.3333333333,542.1314020768623
FedAdam,nr gradient calls,sum,978944.0,3252.788412460708
FedAdam,nr Hessian calls,avg,0.0,0.0
FedAdam,nr Hessian calls,sum,0.0,0.0
FedAdam,nr proximal calls,avg,0.0,0.0
FedAdam,nr proximal calls,sum,0.0,0.0
FedAdam,nr sent messages,avg,122.90012235564042,2.5412434772209167
FedAdam,nr sent messages,sum,860.300856489483,17.788704340547497
FedAdam,nr received messages,avg,98.63581248454022,3.5395891289845878
FedAdam,nr received messages,sum,690.4506873917816,24.777123902891844
FedAdam,nr sent messages dropped,avg,24.264309871097673,6.08083260620505
FedAdam,nr sent messages dropped,sum,169.8501690976837,42.56582824343516
FedAdam,mse,min,3.362279511533243,1.4309565713738097
FedAdam,mse,avg,5.0982587064676625,7.880318066250356
FedAdam,mse,max,7.099050203527815,14.395767916832925
FedAdam,accuracy,min,0.3731343283582089,0.413770574855078
FedAdam,accuracy,avg,0.45454545454545453,0.43963123578352076
FedAdam,accuracy,max,0.539348710990502,0.11206286402324983
FedAdam,balanced accuracy,min,0.2647074167452858,0.306417929198235
FedAdam,balanced accuracy,avg,0.3600592301287804,0.20052045223211912
FedAdam,balanced accuracy,max,0.42734089217461324,0.30470949739655395
FedAdam,precision,min,0.3731343283582089,0.413770574855078
FedAdam,precision,avg,0.45454545454545453,0.43963123578352076
FedAdam,precision,max,0.539348710990502,0.11206286402324983
FedAdam,recall,min,0.3731343283582089,0.413770574855078
FedAdam,recall,avg,0.45454545454545453,0.43963123578352076
FedAdam,recall,max,0.539348710990502,0.11206286402324983
FedAdam,client drift from server,min,171.79173278808594,0.6789723050854946
FedAdam,client drift from server,avg,171.796812693278,0.6901366364868977
FedAdam,client drift from server,max,171.80743408203125,0.6840132188297048
FedAdam,fraction selected clients,,0.7965,0.027530110261711593
FedAdam,server mse,,3.1560379918588874,0.8275411497101586
FedAdam,server accuracy,,0.4993215739484397,0.01724044061896185
FedAdam,server balanced accuracy,,0.12466124661246612,0.004304269897078175
FedPD,gradient norm,,5.865926027297974,8.4866115518139
FedPD,consensus error,min,1.6651697754859924,0.7385143119448879
FedPD,consensus error,avg,2.339297205209732,0.8615967487574836
FedPD,consensus error,max,3.9384119510650635,2.5391815643242936
FedPD,loss,min,0.6823672795295715,3.3524811639993426
FedPD,loss,avg,23.968934809355737,253.64086343286235
FedPD,loss,max,134.59243602214863,1549.6058615478275
FedPD,nr x updates,avg,803.75,7.411952762769033
FedPD,nr x updates,sum,4822.5,44.47171657661147
FedPD,nr function calls,avg,0.0,0.0
FedPD,nr function calls,sum,0.0,0.0
FedPD,nr gradient calls,avg,257200.0,2371.8248840858287
FedPD,nr gradient calls,sum,1543200.0,14230.949304515729
FedPD,nr Hessian calls,avg,0.0,0.0
FedPD,nr Hessian calls,sum,0.0,0.0
FedPD,nr proximal calls,avg,0.0,0.0
FedPD,nr proximal calls,sum,0.0,0.0
FedPD,nr sent messages,avg,108.4929651551681,26.410780423964468
FedPD,nr sent messages,sum,759.4507560861766,184.8754629677518
FedPD,nr received messages,avg,86.22151441095528,23.143467381824223
FedPD,nr received messages,sum,603.550600876687,162.0042716727712
FedPD,nr sent messages dropped,avg,22.271450744210394,3.2673130421399392
FedPD,nr sent messages dropped,sum,155.90015520947276,22.871191294979525
FedPD,mse,min,4.419945725915875,5.835889149518501
FedPD,mse,avg,5.973089099954771,0.6120356419731445
FedPD,mse,max,7.635685210312076,1.0258062168282152
FedPD,accuracy,min,0.28154681139755766,0.5775547607352134
FedPD,accuracy,avg,0.37042062415196747,0.16378418588013507
FedPD,accuracy,max,0.4626865671641791,0.24136616866546226
FedPD,balanced accuracy,min,0.20124306181400614,0.3572241920470524
FedPD,balanced accuracy,avg,0.2844742914167858,0.08789822777955941
FedPD,balanced accuracy,max,0.3613471449790047,0.11883625326576866
FedPD,precision,min,0.28154681139755766,0.5775547607352134
FedPD,precision,avg,0.37042062415196747,0.16378418588013507
FedPD,precision,max,0.4626865671641791,0.24136616866546226
FedPD,recall,min,0.28154681139755766,0.5775547607352134
FedPD,recall,avg,0.37042062415196747,0.16378418588013507
FedPD,recall,max,0.4626865671641791,0.24136616866546226
FedPD,client drift from server,min,2.0591070652008057,0.324218000336733
FedPD,client drift from server,avg,2.8328735033671064,1.7402139024402674
FedPD,client drift from server,max,4.400015592575073,0.40537852925567996
FedPD,fraction selected clients,,0.80375,0.0074119527627685144
FedPD,server mse,,6.78629579375848,18.52485344507423
FedPD,server accuracy,,0.40298507462686567,0.6034154216636558
FedPD,server balanced accuracy,,0.3005760452908238,0.4468047689159718
Scaffold,gradient norm,,1527037.375,1279519.5817595676
Scaffold,consensus error,min,35251655360.0,435123935651.2646
Scaffold,consensus error,avg,70001362570.66667,876660805325.1425
Scaffold,consensus error,max,139498699040.0,1759708174317.2385
Scaffold,loss,min,,
Scaffold,loss,avg,,
