split,row_index,center,label
train,0,0,1
train,1,0,2
train,2,0,1
train,3,0,3
train,4,0,1
train,5,0,1
train,6,0,3
train,7,0,0
train,8,0,0
train,9,0,0
train,10,0,1
train,11,0,4
train,12,0,2
train,13,0,0
train,14,0,4
train,15,0,1
train,16,0,6
train,17,0,7
train,18,0,1
train,19,0,1
train,20,0,7
train,21,0,1
train,22,0,4
train,23,0,1
train,24,0,0
train,25,0,1
train,26,0,1
train,27,0,2
train,28,0,4
train,29,0,2
train,30,0,1
train,31,0,1
train,32,0,1
train,33,0,1
train,34,0,1
train,35,0,1
train,36,0,0
train,37,0,0
train,38,0,3
train,39,0,1
train,40,0,1
train,41,0,1
train,42,0,0
train,43,0,7
train,44,0,1
train,45,0,1
train,46,0,2
train,47,0,3
train,48,0,0
train,49,0,0
train,50,0,0
train,51,0,2
train,52,0,0
train,53,0,1
train,54,0,4
train,55,0,6
train,56,0,1
train,57,0,4
train,58,0,0
train,59,0,1
train,60,0,1
train,61,0,1
train,62,0,1
train,63,0,1
train,64,0,4
train,65,0,2
train,66,0,1
train,67,0,0
train,68,0,0
train,69,0,1
train,70,0,0
train,71,0,2
train,72,0,1
train,73,0,0
train,74,0,2
train,75,0,3
train,76,0,2
train,77,0,2
train,78,0,0
train,79,0,0
train,80,0,0
train,81,0,1
train,82,0,2
train,83,0,0
train,84,0,1
train,85,0,1
train,86,0,2
train,87,0,2
train,88,0,0
train,89,0,2
train,90,0,1
train,91,0,0
train,92,0,1
train,93,0,7
train,94,0,1
train,95,0,3
train,96,0,1
train,97,0,0
train,98,0,1
train,99,0,4
train,100,0,0
train,101,0,0
train,102,0,2
train,103,0,0
train,104,0,3
train,105,0,3
train,106,0,1
train,107,0,4
train,108,0,4
train,109,0,2
train,110,0,1
train,111,0,0
train,112,0,1
train,113,0,1
train,114,0,1
train,115,0,1
train,116,0,1
train,117,0,3
train,118,0,1
train,119,0,2
train,120,0,1
train,121,0,2
train,122,0,1
train,123,0,7
train,124,0,0
train,125,0,0
train,126,0,0
train,127,0,2
train,128,0,3
train,129,0,3
train,130,0,4
train,131,0,1
train,132,0,0
train,133,0,1
train,134,0,7
train,135,0,0
train,136,0,2
train,137,0,2
train,138,0,1
train,139,0,1
train,140,0,1
train,141,0,1
train,142,0,0
train,143,0,0
train,144,0,2
train,145,0,0
train,146,0,5
train,147,0,2
train,148,0,1
train,149,0,2
train,150,0,0
train,151,0,3
train,152,0,0
train,153,0,1
train,154,0,2
train,155,0,3
train,156,0,2
train,157,0,3
train,158,0,1
train,159,0,4
train,160,0,1
train,161,0,1
train,162,0,2
train,163,0,0
train,164,0,3
train,165,0,0
train,166,0,0
train,167,0,2
train,168,0,2
train,169,0,1
train,170,0,0
train,171,0,1
train,172,0,1
train,173,0,0
train,174,0,3
train,175,0,2
train,176,0,1
train,177,0,0
train,178,0,4
train,179,0,0
train,180,0,0
train,181,0,3
train,182,0,1
train,183,0,1
train,184,0,0
