split,center_id,center_name,label,class_name,samples
test,0,BCN,0,MEL,57
test,0,BCN,1,NV,82
test,0,BCN,2,BCC,55
test,0,BCN,3,AK,13
test,0,BCN,4,BKL,26
test,0,BCN,5,DF,3
test,0,BCN,6,VASC,3
test,0,BCN,7,SCC,10
test,1,HAM_vidir_molemax,0,MEL,1
test,1,HAM_vidir_molemax,1,NV,90
test,1,HAM_vidir_molemax,4,BKL,4
test,1,HAM_vidir_molemax,5,DF,3
test,1,HAM_vidir_molemax,6,VASC,2
test,2,HAM_vidir_modern,0,MEL,21
test,2,HAM_vidir_modern,1,NV,51
test,2,HAM_vidir_modern,2,BCC,6
test,2,HAM_vidir_modern,3,AK,1
test,2,HAM_vidir_modern,4,BKL,14
test,2,HAM_vidir_modern,5,DF,4
test,2,HAM_vidir_modern,6,VASC,3
test,3,HAM_rosendahl,0,MEL,14
test,3,HAM_rosendahl,1,NV,32
test,3,HAM_rosendahl,2,BCC,16
test,3,HAM_rosendahl,3,AK,8
test,3,HAM_rosendahl,4,BKL,18
test,3,HAM_rosendahl,5,DF,3
test,3,HAM_rosendahl,7,SCC,9
test,4,MSK,0,MEL,30
test,4,MSK,1,NV,40
test,4,MSK,4,BKL,30
test,5,HAM_vienna_dias,0,MEL,9
test,5,HAM_vienna_dias,1,NV,74
test,5,HAM_vienna_dias,4,BKL,4
test,5,HAM_vienna_dias,6,VASC,1
train,0,BCN,0,MEL,227
train,0,BCN,1,NV,334
train,0,BCN,2,BCC,223
train,0,BCN,3,AK,61
train,0,BCN,4,BKL,92
train,0,BCN,5,DF,10
train,0,BCN,6,VASC,9
train,0,BCN,7,SCC,37
train,1,HAM_vidir_molemax,0,MEL,5
train,1,HAM_vidir_molemax,1,NV,293
train,1,HAM_vidir_molemax,2,BCC,1
train,1,HAM_vidir_molemax,4,BKL,10
train,1,HAM_vidir_molemax,5,DF,3
train,1,HAM_vidir_molemax,6,VASC,5
train,2,HAM_vidir_modern,0,MEL,52
train,2,HAM_vidir_modern,1,NV,144
train,2,HAM_vidir_modern,2,BCC,17
train,2,HAM_vidir_modern,3,AK,7
train,2,HAM_vidir_modern,4,BKL,37
train,2,HAM_vidir_modern,5,DF,4
train,2,HAM_vidir_modern,6,VASC,7
train,2,HAM_vidir_modern,7,SCC,2
train,3,HAM_rosendahl,0,MEL,27
train,3,HAM_rosendahl,1,NV,63
train,3,HAM_rosendahl,2,BCC,22
train,3,HAM_rosendahl,3,AK,9
train,3,HAM_rosendahl,4,BKL,39
train,3,HAM_rosendahl,5,DF,6
train,3,HAM_rosendahl,6,VASC,1
train,3,HAM_rosendahl,7,SCC,14
train,4,MSK,0,MEL,25
train,4,MSK,1,NV,52
train,4,MSK,4,BKL,23
train,5,HAM_vienna_dias,0,MEL,16
train,5,HAM_vienna_dias,1,NV,77
train,5,HAM_vienna_dias,2,BCC,2
train,5,HAM_vienna_dias,4,BKL,2
train,5,HAM_vienna_dias,5,DF,2
train,5,HAM_vienna_dias,6,VASC,1
