status,candidate_id,search_stage,server_accuracy_mean,server_accuracy_margin_of_error,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,rho,local_solver,server_l2_weight,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum
ok,reference_adam_l2_1e_m3_lr_0p01_e5_rho_1,reference,0.5219836400817995,0.0,1.8434431976079941,0.0,242.053,,0.01,5,1.0,adam,0.001,0.9,0.999,1e-08,
ok,reference_gd_l2_1e_m3_lr_0p0244_e3_rho_1,reference,0.1357361963190184,0.0,3.440368766784668,0.0,143.553,,0.02441691061516309,3,1.0,gd,0.001,,,,
ok,random_00_adam,random,0.7333844580777096,0.0,0.8725133174657822,0.0,376.676,,0.005049817772555944,8,1.0,adam,0.0006372020005732696,0.9,0.99,1e-08,
ok,random_01_adam,random,0.05521472392638037,0.0,3.8791979479789735,0.0,244.21,,0.0040601406511451546,5,0.1,adam,1.2828200627617587e-05,0.9,0.999,1e-08,
ok,random_02_adam,random,0.05802658486707567,0.0,4.164027376174927,0.0,381.692,,0.015596294318044579,8,0.1,adam,0.001059402359282106,0.9,0.99,1e-08,
ok,random_03_adam,random,0.6970858895705522,0.0,1.0088431815803052,0.0,240.346,,0.00343704198644966,5,1.0,adam,0.0011097809403425056,0.9,0.999,1e-08,
ok,random_04_adam,random,0.04677914110429448,0.0,3.854141447544098,0.0,242.111,,0.003496906997760965,5,0.1,adam,0.0004666185214222936,0.9,0.99,1e-08,
ok,random_05_gd,random,0.06927402862985685,0.0,3.6156638288497924,0.0,234.409,,0.01138318877518379,5,0.1,gd,1.982926090503776e-05,,,,
ok,random_06_adam,random,0.09637014314928426,0.0,3.400258457660675,0.0,377.472,,0.005236189935533172,8,0.1,adam,0.0001619492199897445,0.5,0.999,1e-08,
ok,random_07_gd,random,0.05061349693251534,0.0,3.441623466014862,0.0,144.113,,0.005401067464326821,3,1.0,gd,0.00018583185159272493,,,,
ok,random_08_adam,random,0.7701942740286298,0.0,0.7719808986037969,0.0,376.603,,0.003947011298025427,8,1.0,adam,0.00014627570209930008,0.9,0.999,1e-08,
ok,random_09_adam,random,0.04703476482617587,0.0,3.4094787287712096,0.0,378.438,,0.005894056059335632,8,0.1,adam,0.0011454046725691682,0.5,0.99,1e-08,
ok,random_10_gd,random,0.2088445807770961,0.0,3.3711853218078613,0.0,368.213,,0.014768733005401128,8,0.1,gd,3.271398634029659e-05,,,,
ok,random_11_adam,random,0.057770961145194276,0.0,3.6477307534217833,0.0,145.987,,0.010900732246044636,3,1.0,adam,0.0002950102679382231,0.9,0.99,1e-08,
ok,random_12_gd,random,0.06237218813905931,0.0,3.389340934753418,0.0,368.606,,0.008032881587505753,8,1.0,gd,5.402205862648474e-05,,,,
ok,random_13_gd,random,0.07489775051124745,0.0,3.635162935256958,0.0,143.388,,0.013995393612174317,3,0.1,gd,0.001161051902536005,,,,
ok,random_14_adam,random,0.08001022494887526,0.0,3.4105994153022765,0.0,381.248,,0.004170537451879888,8,0.1,adam,0.0037292976182971157,0.5,0.999,1e-08,
ok,random_15_gd,random,0.057770961145194276,0.0,3.630195038318634,0.0,143.148,,0.0072071095491981685,3,0.1,gd,0.0046606413590414035,,,,
ok,random_16_gd,random,0.1030163599182004,0.0,3.6187030625343324,0.0,237.852,,0.015159422707095117,5,0.1,gd,1.2978002907059101e-05,,,,
ok,random_17_gd,random,0.06134969325153374,0.0,3.632628655433655,0.0,144.969,,0.010976015749059178,3,0.1,gd,0.0004357835341385992,,,,
