status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_accuracy_mean,server_accuracy_margin_of_error,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_0p3_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_0p3_skip_0p2,0.42254601226993865,0.0,1.8203159481287003,0.0,513.993,,0.01,3,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_0p3_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_0p3_skip_0p5,0.4294478527607362,0.0,1.3894570577144623,0.0,512.262,,0.01,3,,,,,,,,,,,,,,,,,,0.3,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_0p5_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_0p5_skip_0p2,0.434560327198364,0.0,1.5820344024896622,0.0,623.321,,0.01,3,,,,,,,,,,,,,,,,,,0.5,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_0p5_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_0p5_skip_0p5,0.4376278118609407,0.0,1.193577481508255,0.0,682.099,,0.01,3,,,,,,,,,,,,,,,,,,0.5,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_1_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_1_skip_0p2,0.4378834355828221,0.0,1.3225112289190293,0.0,632.688,,0.01,3,,,,,,,,,,,,,,,,,,1.0,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e3_eta_1_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e3_eta_1_skip_0p5,0.4378834355828221,0.0,0.9657249060273171,0.0,521.128,,0.01,3,,,,,,,,,,,,,,,,,,1.0,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_0p3_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_0p3_skip_0p2,0.6196319018404908,0.0,1.0057956132292747,0.0,640.582,,0.01,5,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_0p3_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_0p3_skip_0p5,0.5820552147239264,0.0,0.4896399606019258,0.0,582.761,,0.01,5,,,,,,,,,,,,,,,,,,0.3,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_0p5_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_0p5_skip_0p2,0.6142638036809815,0.0,0.7776570914685726,0.0,584.762,,0.01,5,,,,,,,,,,,,,,,,,,0.5,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_0p5_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_0p5_skip_0p5,0.5764314928425358,0.0,0.36234031405299905,0.0,588.963,,0.01,5,,,,,,,,,,,,,,,,,,0.5,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_1_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_1_skip_0p2,0.6022494887525562,0.0,0.4996333710849285,0.0,629.55,,0.01,5,,,,,,,,,,,,,,,,,,1.0,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p01_e5_eta_1_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p01_e5_eta_1_skip_0p5,0.5529141104294478,0.0,0.2545064026489854,0.0,859.445,,0.01,5,,,,,,,,,,,,,,,,,,1.0,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_0p3_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_0p3_skip_0p2,0.6641104294478528,0.0,1.0028361260890961,0.0,537.912,,0.02,3,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_0p3_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_0p3_skip_0p5,0.6451942740286298,0.0,0.47997360907495024,0.0,702.038,,0.02,3,,,,,,,,,,,,,,,,,,0.3,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_0p5_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_0p5_skip_0p2,0.6679447852760736,0.0,0.782622375190258,0.0,711.851,,0.02,3,,,,,,,,,,,,,,,,,,0.5,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_0p5_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_0p5_skip_0p5,0.6336912065439673,0.0,0.35686906762421133,0.0,703.424,,0.02,3,,,,,,,,,,,,,,,,,,0.5,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_1_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_1_skip_0p2,0.658997955010225,0.0,0.5300044534355401,0.0,704.841,,0.02,3,,,,,,,,,,,,,,,,,,1.0,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e3_eta_1_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e3_eta_1_skip_0p5,0.6096625766871165,0.0,0.2510347963683307,0.0,700.298,,0.02,3,,,,,,,,,,,,,,,,,,1.0,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_0p3_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_0p3_skip_0p2,0.7556237218813906,0.0,0.6306051374971866,0.0,1161.838,,0.02,5,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_0p3_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_0p3_skip_0p5,0.7183026584867076,0.0,0.25584270354360344,0.0,1169.506,,0.02,5,,,,,,,,,,,,,,,,,,0.3,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_0p5_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_0p5_skip_0p2,0.7507668711656442,0.0,0.5113846601545811,0.0,919.622,,0.02,5,,,,,,,,,,,,,,,,,,0.5,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_0p5_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_0p5_skip_0p5,0.7065439672801636,0.0,0.17314391259104014,0.0,875.533,,0.02,5,,,,,,,,,,,,,,,,,,0.5,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_1_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_1_skip_0p2,0.7379856850715747,0.0,0.3477845922484994,0.0,876.433,,0.02,5,,,,,,,,,,,,,,,,,,1.0,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p02_e5_eta_1_skip_0p5,fedpd,FedPD,FedPD,grid_lr_0p02_e5_eta_1_skip_0p5,0.6763803680981595,0.0,0.11718634464778006,0.0,875.983,,0.02,5,,,,,,,,,,,,,,,,,,1.0,0.5
ok,grid,grid_FedPD_FedPD_grid_lr_0p03_e3_eta_0p3_skip_0p2,fedpd,FedPD,FedPD,grid_lr_0p03_e3_eta_0p3_skip_0p2,0.7456543967280164,0.0,0.7571406918764114,0.0,531.194,,0.03,3,,,,,,,,,,,,,,,,,,0.3,0.2
