status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_accuracy_mean,server_accuracy_margin_of_error,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,manual,manual_SCAFFOLD_Scaffold_manual_lr_0p01_e5_server_1,scaffold,SCAFFOLD,Scaffold,manual_lr_0p01_e5_server_1,0.6554192229038854,0.0,1.2915498554706573,0.0,177.403,,0.01,5,,1.0,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_00,scaffold,SCAFFOLD,Scaffold,random_00,0.046267893660531696,0.0,3.651800615787506,0.0,40.395,,0.013804210088465925,1,,0.9717875856158315,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_01,scaffold,SCAFFOLD,Scaffold,random_01,0.0679959100204499,0.0,3.6413557577133178,0.0,74.513,,0.010514878082131786,2,,0.5811189564742527,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_02,scaffold,SCAFFOLD,Scaffold,random_02,0.0598159509202454,0.0,3.6481217074394228,0.0,107.288,,0.001672161957573241,3,,0.5180276239151729,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_03,scaffold,SCAFFOLD,Scaffold,random_03,0.7916666666666666,0.0,0.6390519369393587,0.0,176.354,,0.02441691061516309,5,,0.8798764314607534,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_04,scaffold,SCAFFOLD,Scaffold,random_04,0.05061349693251534,0.0,nan,nan,58.261,,0.016454811464286817,2,,0.8375101559619365,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_05,scaffold,SCAFFOLD,Scaffold,random_05,0.30649284253578735,0.0,2.9523606181144713,0.0,182.285,,0.006047022445777165,8,,0.5295317913669174,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_06,scaffold,SCAFFOLD,Scaffold,random_06,0.05061349693251534,0.0,nan,nan,73.723,,0.03935618684492148,3,,0.764007764265412,,,,,,,,,,,,,,,,,
ok,random,random_SCAFFOLD_Scaffold_random_07,scaffold,SCAFFOLD,Scaffold,random_07,0.2832310838445808,0.0,3.05877322435379,0.0,181.098,,0.005722821409268382,8,,0.5332814137166793,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0122_e3_server_0p5,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0122_e3_server_0p5,0.1390593047034765,0.0,3.612262783050537,0.0,96.236,,0.012208455307581545,3,,0.5,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0122_e3_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0122_e3_server_1,0.48568507157464214,0.0,2.013800547122955,0.0,107.307,,0.012208455307581545,3,,1.0,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0122_e5_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0122_e5_server_1,0.7142126789366053,0.0,1.0251184460520744,0.0,174.259,,0.012208455307581545,5,,1.0,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e3_server_0p5,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e3_server_0p5,0.05061349693251534,0.0,nan,nan,107.344,,0.02441691061516309,3,,0.5,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e3_server_0p88,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e3_server_0p88,0.05061349693251534,0.0,nan,nan,106.217,,0.02441691061516309,3,,0.8798764314607534,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e3_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e3_server_1,0.05061349693251534,0.0,nan,nan,107.352,,0.02441691061516309,3,,1.0,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e5_server_0p88,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e5_server_0p88,0.7908997955010225,0.0,0.6372489704191685,0.0,174.747,,0.02441691061516309,5,,0.8798764314607534,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e5_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e5_server_1,0.8021472392638037,0.0,0.5773706790804863,0.0,173.892,,0.02441691061516309,5,,1.0,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0244_e8_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0244_e8_server_1,0.821319018404908,0.0,0.3835563416406512,0.0,305.375,,0.02441691061516309,8,,1.0,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0488_e3_server_0p88,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0488_e3_server_0p88,0.05061349693251534,0.0,nan,nan,143.713,,0.04883382123032618,3,,0.8798764314607534,,,,,,,,,,,,,,,,,
ok,grid,grid_SCAFFOLD_Scaffold_grid_lr_0p0488_e5_server_1,scaffold,SCAFFOLD,Scaffold,grid_lr_0p0488_e5_server_1,0.05061349693251534,0.0,nan,nan,230.757,,0.04883382123032618,5,,1.0,,,,,,,,,,,,,,,,,
