client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
0,f0035_19,416,59,333,83,"{""0"": 13, ""1"": 15, ""2"": 13, ""3"": 13, ""4"": 10, ""5"": 11, ""6"": 10, ""7"": 12, ""8"": 13, ""9"": 9, ""10"": 2, ""11"": 1, ""12"": 8, ""13"": 4, ""14"": 6, ""15"": 9, ""16"": 1, ""18"": 17, ""19"": 2, ""20"": 1, ""21"": 4, ""22"": 7, ""23"": 5, ""24"": 23, ""25"": 5, ""26"": 1, ""27"": 2, ""28"": 22, ""29"": 20, ""30"": 9, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 34, ""41"": 1, ""42"": 1, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 13, ""50"": 1, ""52"": 1, ""53"": 13, ""54"": 1, ""55"": 8, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
1,f0037_16,403,58,322,81,"{""0"": 13, ""1"": 14, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 1, ""12"": 8, ""13"": 2, ""14"": 2, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 9, ""23"": 4, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 2, ""30"": 11, ""31"": 2, ""32"": 2, ""33"": 2, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 5, ""38"": 1, ""39"": 11, ""40"": 34, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 1, ""46"": 1, ""47"": 3, ""48"": 1, ""49"": 14, ""51"": 1, ""52"": 1, ""53"": 15, ""54"": 1, ""55"": 24, ""56"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
2,f0106_05,316,57,253,63,"{""0"": 11, ""1"": 12, ""2"": 11, ""3"": 13, ""4"": 8, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 10, ""9"": 9, ""10"": 9, ""11"": 3, ""12"": 7, ""13"": 11, ""14"": 12, ""15"": 9, ""17"": 4, ""18"": 6, ""20"": 1, ""21"": 9, ""22"": 5, ""23"": 10, ""24"": 20, ""25"": 4, ""26"": 1, ""27"": 13, ""28"": 13, ""29"": 12, ""30"": 9, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 2, ""42"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 14, ""48"": 1, ""49"": 2, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 4, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
3,f0154_34,281,59,225,56,"{""0"": 9, ""1"": 12, ""2"": 12, ""3"": 12, ""4"": 11, ""5"": 9, ""6"": 12, ""7"": 12, ""8"": 8, ""9"": 8, ""10"": 2, ""11"": 2, ""12"": 5, ""13"": 2, ""14"": 2, ""15"": 4, ""16"": 1, ""18"": 4, ""19"": 1, ""20"": 1, ""21"": 3, ""22"": 6, ""23"": 7, ""24"": 17, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 12, ""29"": 5, ""30"": 7, ""31"": 1, ""32"": 1, ""33"": 1, ""34"": 1, ""36"": 2, ""37"": 2, ""38"": 1, ""39"": 4, ""40"": 10, ""41"": 1, ""42"": 3, ""43"": 3, ""44"": 1, ""46"": 1, ""47"": 27, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 5, ""54"": 1, ""55"": 10, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
4,f0195_27,258,52,206,52,"{""0"": 11, ""1"": 12, ""2"": 7, ""3"": 10, ""4"": 6, ""5"": 9, ""6"": 11, ""7"": 8, ""8"": 8, ""9"": 13, ""10"": 1, ""11"": 2, ""12"": 7, ""13"": 1, ""14"": 21, ""15"": 3, ""16"": 1, ""18"": 2, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 2, ""23"": 8, ""24"": 6, ""25"": 6, ""26"": 1, ""27"": 11, ""28"": 15, ""29"": 1, ""30"": 7, ""31"": 2, ""32"": 3, ""34"": 2, ""36"": 2, ""37"": 2, ""38"": 1, ""39"": 8, ""40"": 1, ""42"": 1, ""43"": 5, ""47"": 23, ""48"": 1, ""50"": 1, ""52"": 3, ""53"": 1, ""54"": 1, ""55"": 2, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
5,f0239_15,357,58,286,71,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 11, ""4"": 11, ""5"": 10, ""6"": 11, ""7"": 11, ""8"": 9, ""9"": 9, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 3, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 2, ""21"": 2, ""22"": 8, ""23"": 7, ""24"": 20, ""25"": 7, ""27"": 11, ""28"": 18, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 10, ""37"": 4, ""39"": 7, ""40"": 29, ""41"": 1, ""42"": 2, ""43"": 3, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 18, ""48"": 1, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 7, ""55"": 11, ""56"": 1, ""57"": 2, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
6,f0246_12,423,59,338,85,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 10, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 16, ""19"": 4, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 36, ""41"": 1, ""42"": 4, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 12, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 21, ""55"": 24, ""56"": 2, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
7,f0270_23,249,53,199,50,"{""0"": 9, ""1"": 13, ""2"": 11, ""3"": 12, ""4"": 12, ""5"": 6, ""6"": 10, ""7"": 12, ""8"": 3, ""9"": 3, ""10"": 1, ""11"": 2, ""12"": 4, ""13"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 4, ""24"": 12, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 7, ""29"": 2, ""30"": 6, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 3, ""37"": 1, ""39"": 4, ""40"": 19, ""43"": 8, ""44"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 6, ""50"": 1, ""52"": 1, ""53"": 7, ""55"": 9, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
8,f0359_05,400,56,320,80,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 11, ""4"": 12, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 10, ""10"": 2, ""11"": 2, ""12"": 11, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 5, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 19, ""25"": 6, ""27"": 1, ""28"": 19, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 8, ""40"": 36, ""42"": 2, ""43"": 9, ""45"": 2, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 16, ""54"": 1, ""55"": 22, ""57"": 2, ""58"": 1, ""59"": 1, ""61"": 1}"
9,f0428_41,176,35,141,35,"{""0"": 9, ""1"": 10, ""2"": 10, ""3"": 8, ""4"": 9, ""5"": 4, ""6"": 11, ""7"": 11, ""8"": 11, ""9"": 12, ""10"": 6, ""11"": 1, ""12"": 8, ""13"": 1, ""14"": 3, ""15"": 1, ""17"": 5, ""18"": 2, ""19"": 1, ""21"": 7, ""22"": 1, ""23"": 5, ""24"": 5, ""25"": 5, ""27"": 3, ""28"": 7, ""29"": 2, ""30"": 1, ""31"": 1, ""32"": 2, ""34"": 2, ""47"": 6, ""49"": 1, ""53"": 2, ""55"": 3}"
10,f0433_14,221,53,177,44,"{""0"": 12, ""1"": 12, ""2"": 10, ""3"": 13, ""4"": 10, ""5"": 5, ""6"": 10, ""7"": 10, ""8"": 9, ""9"": 10, ""12"": 6, ""13"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 3, ""19"": 1, ""20"": 1, ""21"": 5, ""22"": 7, ""23"": 6, ""24"": 9, ""25"": 3, ""26"": 1, ""27"": 1, ""28"": 4, ""30"": 7, ""31"": 5, ""32"": 3, ""33"": 1, ""34"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 3, ""40"": 8, ""41"": 1, ""42"": 3, ""43"": 2, ""44"": 1, ""46"": 1, ""47"": 11, ""49"": 5, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 4, ""54"": 1, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
11,f0472_36,412,53,330,82,"{""0"": 12, ""1"": 12, ""2"": 11, ""3"": 13, ""4"": 11, ""5"": 13, ""6"": 12, ""7"": 12, ""8"": 12, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 10, ""13"": 1, ""14"": 1, ""15"": 11, ""17"": 1, ""18"": 16, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 2, ""24"": 25, ""25"": 6, ""26"": 1, ""28"": 19, ""29"": 4, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 3, ""39"": 10, ""40"": 33, ""41"": 1, ""43"": 10, ""44"": 1, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 15, ""50"": 1, ""52"": 3, ""53"": 19, ""55"": 24, ""56"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
12,f0505_13,243,59,194,49,"{""0"": 12, ""1"": 12, ""2"": 10, ""3"": 11, ""4"": 7, ""5"": 7, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10, ""10"": 6, ""11"": 1, ""12"": 7, ""13"": 1, ""14"": 1, ""15"": 3, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 4, ""20"": 1, ""21"": 2, ""22"": 1, ""23"": 3, ""24"": 13, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 7, ""29"": 2, ""30"": 5, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 5, ""40"": 15, ""41"": 1, ""42"": 1, ""43"": 4, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 7, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 8, ""54"": 1, ""55"": 7, ""56"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
13,f0555_35,246,56,197,49,"{""0"": 8, ""1"": 11, ""2"": 8, ""3"": 12, ""4"": 8, ""5"": 8, ""6"": 11, ""7"": 11, ""8"": 10, ""9"": 9, ""10"": 4, ""11"": 4, ""12"": 5, ""13"": 4, ""14"": 4, ""15"": 4, ""16"": 1, ""17"": 2, ""18"": 7, ""19"": 1, ""20"": 1, ""21"": 3, ""22"": 5, ""23"": 14, ""24"": 13, ""25"": 6, ""26"": 1, ""27"": 5, ""28"": 13, ""29"": 7, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 2, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 3, ""48"": 1, ""50"": 1, ""53"": 1, ""54"": 1, ""55"": 1, ""56"": 2, ""57"": 1, ""58"": 1, ""59"": 1}"
14,f0569_42,296,58,237,59,"{""0"": 12, ""1"": 13, ""2"": 11, ""3"": 11, ""4"": 8, ""5"": 10, ""6"": 10, ""7"": 12, ""8"": 10, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 5, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 1, ""24"": 15, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 3, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 6, ""37"": 4, ""38"": 1, ""39"": 7, ""40"": 11, ""41"": 1, ""42"": 3, ""43"": 6, ""45"": 1, ""46"": 2, ""47"": 4, ""48"": 1, ""49"": 9, ""50"": 1, ""52"": 2, ""53"": 14, ""54"": 1, ""55"": 10, ""57"": 2, ""58"": 1, ""59"": 1, ""61"": 1}"
15,f0637_21,295,61,236,59,"{""0"": 10, ""1"": 12, ""2"": 9, ""3"": 12, ""4"": 10, ""5"": 7, ""6"": 10, ""7"": 8, ""8"": 10, ""9"": 10, ""10"": 10, ""11"": 1, ""12"": 5, ""13"": 4, ""14"": 11, ""15"": 7, ""17"": 1, ""18"": 5, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 6, ""23"": 16, ""24"": 15, ""25"": 6, ""26"": 1, ""27"": 3, ""28"": 9, ""29"": 9, ""30"": 11, ""31"": 1, ""32"": 4, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 1, ""37"": 4, ""38"": 1, ""39"": 7, ""40"": 13, ""41"": 1, ""42"": 1, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 5, ""48"": 1, ""49"": 2, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 1, ""54"": 1, ""55"": 8, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
