algorithm,metric,x,y_mean,y_min,y_max
FedAvg uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedAvg uniform,server accuracy,150,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedAvg uniform,server accuracy,300,0.4102878973939146,0.4023741301678264,0.4238641015145313
FedAvg uniform,server accuracy,450,0.6296220493928231,0.6074498567335244,0.6420384772820303
FedAvg uniform,server accuracy,600,0.6947059626142721,0.690749079001228,0.700777732296357
FedAvg uniform,server accuracy,750,0.7303179151316687,0.7175603765861646,0.7402783462955382
FedAvg uniform,server accuracy,900,0.7655205348615092,0.7627916496111339,0.7705689725747032
FedAvg uniform,server accuracy,1050,0.7705007504434439,0.7586983217355711,0.7793696275071633
FedAvg uniform,server accuracy,1200,0.7727520807750033,0.7511256651657798,0.7912402783462955
FedAvg uniform,server accuracy,1350,0.7941738299904489,0.7934916086778551,0.7951289398280802
FedAvg uniform,server accuracy,1500,0.7951289398280802,0.7926729431027425,0.7969709373720835
FedAvg uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedAvg uniform,accuracy,150,0.04504297994269343,0.04485264019647975,0.04541751944330742
FedAvg uniform,accuracy,300,0.32074362123072725,0.3160806385591486,0.324541547277937
FedAvg uniform,accuracy,450,0.5178980761358986,0.5083340155546459,0.529353254195661
FedAvg uniform,accuracy,600,0.6149843089098104,0.6012955382726157,0.625065493246009
FedAvg uniform,accuracy,750,0.6619620684950197,0.6512832582889889,0.667312730249693
FedAvg uniform,accuracy,900,0.6826081320780463,0.6765636512484651,0.6863139582480556
FedAvg uniform,accuracy,1050,0.7030938736526129,0.695814572247237,0.7074887433483421
FedAvg uniform,accuracy,1200,0.7121687815527357,0.7112423250102334,0.7131068358575522
FedAvg uniform,accuracy,1350,0.7231696002183109,0.7207081457224724,0.7260212853049529
FedAvg uniform,accuracy,1500,0.7299604311638695,0.7260704052394596,0.732462136717151
FedAvg uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedAvg uniform,loss,150,3.5145274146397907,3.5138985967636107,3.515522379875183
FedAvg uniform,loss,300,1.9441285161177317,1.9151401883363723,1.9638182836771012
FedAvg uniform,loss,450,1.051608707656463,1.0217162965238094,1.0741780835390091
FedAvg uniform,loss,600,0.6950641691933076,0.664756337851286,0.7279605025053024
FedAvg uniform,loss,750,0.5342221742620071,0.5157072300091385,0.5636200593784452
FedAvg uniform,loss,900,0.4689584439744552,0.4573843601718545,0.48240778490900993
FedAvg uniform,loss,1050,0.4118073198199272,0.3869555188715458,0.4348352904990315
FedAvg uniform,loss,1200,0.37616722675661246,0.366201875153929,0.38697291938588024
FedAvg uniform,loss,1350,0.3482586965151131,0.3393460541963577,0.35640622543171047
FedAvg uniform,loss,1500,0.32607386766001584,0.310077337808907,0.3437970604747534
FedAvg uniform,client drift from server,0,0.0,0.0,0.0
FedAvg uniform,client drift from server,150,0.3201994888484478,0.30996001839637755,0.3260642904043198
FedAvg uniform,client drift from server,300,1.0038330528140067,0.9287679752707482,1.0774688988924026
FedAvg uniform,client drift from server,450,0.807314875026544,0.7730909836292267,0.8445124727487564
FedAvg uniform,client drift from server,600,0.7467140519618988,0.7293027904629708,0.771241312623024
FedAvg uniform,client drift from server,750,0.7153189207116762,0.6970883694291115,0.7365127837657929
FedAvg uniform,client drift from server,900,0.6770722191532453,0.6573227143287659,0.7036733239889145
FedAvg uniform,client drift from server,1050,0.6609483063220978,0.6540026211738587,0.6739258381724358
FedAvg uniform,client drift from server,1200,0.6401338757077853,0.6280533280968666,0.6512617281079293
FedAvg uniform,client drift from server,1350,0.6360998627543449,0.6299160212278366,0.6398086032271385
FedAvg uniform,client drift from server,1500,0.6385736909508705,0.6016993138194084,0.6627728876471519
FedAvg data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedAvg data-size weighted,server accuracy,150,0.05423659435120753,0.044617273843634876,0.07204257060990585
FedAvg data-size weighted,server accuracy,300,0.41902033019511525,0.39562013917314776,0.4326647564469914
FedAvg data-size weighted,server accuracy,450,0.6163869559285032,0.5974212034383954,0.645927138763815
FedAvg data-size weighted,server accuracy,600,0.7060990585345887,0.6721244371674171,0.7277936962750716
FedAvg data-size weighted,server accuracy,750,0.7511256651657797,0.7431436758084322,0.7648383135489153
FedAvg data-size weighted,server accuracy,900,0.7750034111065629,0.7650429799426934,0.780392959476054
FedAvg data-size weighted,server accuracy,1050,0.7838040660390231,0.7762996316004912,0.7930822758902988
FedAvg data-size weighted,server accuracy,1200,0.7866011734206576,0.7752762996316005,0.7928776094965206
FedAvg data-size weighted,server accuracy,1350,0.7885796152271797,0.7783462955382726,0.7988129349160867
FedAvg data-size weighted,server accuracy,1500,0.8018147086914995,0.7951289398280802,0.8061809250920999
FedAvg data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedAvg data-size weighted,accuracy,150,0.044147905580570336,0.043733115022513314,0.044645927138763815
FedAvg data-size weighted,accuracy,300,0.27105948969845817,0.2560028653295129,0.2811972984036022
FedAvg data-size weighted,accuracy,450,0.512421885659708,0.49666393778141626,0.5387965616045844
FedAvg data-size weighted,accuracy,600,0.6251882930822759,0.6087781416291445,0.6431170691772411
FedAvg data-size weighted,accuracy,750,0.6758104789193614,0.6635571019238641,0.6908063855914858
FedAvg data-size weighted,accuracy,900,0.6968747441670078,0.6894044207941056,0.7027752762996318
FedAvg data-size weighted,accuracy,1050,0.7154216127711829,0.7043471142038478,0.7235345886205485
FedAvg data-size weighted,accuracy,1200,0.7200716332378224,0.715779778960295,0.7245845272206303
FedAvg data-size weighted,accuracy,1350,0.7357825078455452,0.7313794514940648,0.7421449038067948
FedAvg data-size weighted,accuracy,1500,0.7389787146950471,0.7335407286123617,0.7454379860826853
FedAvg data-size weighted,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedAvg data-size weighted,loss,150,3.53342955827713,3.522494099140167,3.544864251613617
