algorithm,metric,x,y_mean,y_min,y_max
FedDyn uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedDyn uniform,server accuracy,150,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedDyn uniform,server accuracy,300,0.07647700914176558,0.054441260744985676,0.10929185427752763
FedDyn uniform,server accuracy,450,0.4743484786464729,0.45927138763814984,0.4852640196479738
FedDyn uniform,server accuracy,600,0.6934097421203439,0.6841997544003274,0.7001637331150226
FedDyn uniform,server accuracy,750,0.7379587938327193,0.7363896848137536,0.7400736799017601
FedDyn uniform,server accuracy,900,0.7697503069995907,0.7679083094555874,0.7713876381498158
FedDyn uniform,server accuracy,1050,0.7805294037385728,0.7736389684813754,0.7848956201391731
FedDyn uniform,server accuracy,1200,0.7759585209441943,0.7722063037249284,0.7783462955382726
FedDyn uniform,server accuracy,1350,0.7788238504570882,0.7781416291444945,0.7795742939009415
FedDyn uniform,server accuracy,1500,0.7756174102878974,0.7740483012689316,0.7765042979942693
FedDyn uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedDyn uniform,accuracy,150,0.04545708827943786,0.044954973393368805,0.04624027834629554
FedDyn uniform,accuracy,300,0.05994405785236732,0.059095374539500624,0.0611461318051576
FedDyn uniform,accuracy,450,0.4082439623413836,0.40118501841997545,0.4217171510437987
FedDyn uniform,accuracy,600,0.6528912539227726,0.6459823986901353,0.6652005730659026
FedDyn uniform,accuracy,750,0.7196957292945833,0.715611952517397,0.7229246827670895
FedDyn uniform,accuracy,900,0.7488538681948423,0.7472677036430619,0.7498608268522308
FedDyn uniform,accuracy,1050,0.7569279574293898,0.748415882112157,0.7645476872697501
FedDyn uniform,accuracy,1200,0.7521223905034793,0.7465370446172738,0.758493655341793
FedDyn uniform,accuracy,1350,0.7553438395415473,0.7547400736799017,0.7562013917314776
FedDyn uniform,accuracy,1500,0.7497482603356529,0.7458821121571837,0.7566434711420387
FedDyn uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedDyn uniform,loss,150,3.5686341047286985,3.5677072691917417,3.5704174876213073
FedDyn uniform,loss,300,3.5365155410766604,3.5324283742904665,3.541235740184784
FedDyn uniform,loss,450,1.9793577828009923,1.8793415254354477,2.0550767225027085
FedDyn uniform,loss,600,1.0035564360519251,0.9696437531709671,1.038434673845768
FedDyn uniform,loss,750,0.7390406700223684,0.7161666209250689,0.7581882345676422
FedDyn uniform,loss,900,0.6245809241880974,0.6201517003774643,0.63251232303679
FedDyn uniform,loss,1050,0.5631422018135588,0.5549636804312468,0.5793982028961182
FedDyn uniform,loss,1200,0.5656656815732518,0.5561394959688186,0.5782204889506102
FedDyn uniform,loss,1350,0.5335844679921865,0.5209059182554483,0.5407914172112942
FedDyn uniform,loss,1500,0.5479394942025344,0.4963770486414433,0.5807845361530781
FedDyn uniform,client drift from server,0,0.0,0.0,0.0
FedDyn uniform,client drift from server,150,0.19796791159858307,0.19279281605035067,0.20141653031110762
FedDyn uniform,client drift from server,300,0.2700293701017897,0.23625620525330304,0.29229063235223296
FedDyn uniform,client drift from server,450,0.8726987946033478,0.8236579093337059,0.9484853628277778
FedDyn uniform,client drift from server,600,0.8388822889824707,0.7924509481340647,0.8885552655160427
FedDyn uniform,client drift from server,750,0.6867991046607494,0.6803120113164186,0.6915912751108408
FedDyn uniform,client drift from server,900,0.6067234996209542,0.5557131880521774,0.6606649941205979
FedDyn uniform,client drift from server,1050,0.5694914577901363,0.5467564262449741,0.6060254572331906
FedDyn uniform,client drift from server,1200,0.5678814235826334,0.5456297994405032,0.5869526948779822
FedDyn uniform,client drift from server,1350,0.550950002943476,0.5436804541945457,0.5638278411328792
FedDyn uniform,client drift from server,1500,0.5696392031510671,0.5409181524813175,0.6030895212292671
FedDyn data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedDyn data-size weighted,server accuracy,150,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedDyn data-size weighted,server accuracy,300,0.09694364851957975,0.06037658616455178,0.1223905034793287
FedDyn data-size weighted,server accuracy,450,0.46145449583845005,0.433483422022104,0.48321735571019236
FedDyn data-size weighted,server accuracy,600,0.6781279847182425,0.6639377814162915,0.6889070814572247
FedDyn data-size weighted,server accuracy,750,0.7533087733660798,0.7492836676217765,0.7589029881293492
FedDyn data-size weighted,server accuracy,900,0.7760949652067132,0.7681129758493656,0.7820302906262792
FedDyn data-size weighted,server accuracy,1050,0.7880338381771046,0.784690953745395,0.7922636103151862
FedDyn data-size weighted,server accuracy,1200,0.7876927275208078,0.783258288988948,0.7941056078591895
FedDyn data-size weighted,server accuracy,1350,0.7808022922636103,0.7773229635693819,0.7851002865329513
FedDyn data-size weighted,server accuracy,1500,0.778960294719607,0.767294310274253,0.7871469504707327
FedDyn data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedDyn data-size weighted,accuracy,150,0.044894937917860554,0.044383954154727796,0.045245599672533776
FedDyn data-size weighted,accuracy,300,0.06420725883476601,0.05592099877200165,0.07932050757265657
FedDyn data-size weighted,accuracy,450,0.3864190203301951,0.36240687679083095,0.4119791240278347
FedDyn data-size weighted,accuracy,600,0.6441799699822622,0.6352722063037249,0.6580085959885388
FedDyn data-size weighted,accuracy,750,0.721290080502115,0.7183196889070815,0.7244760540319283
FedDyn data-size weighted,accuracy,900,0.752232228134807,0.7460642652476465,0.759007367990176
FedDyn data-size weighted,accuracy,1050,0.7638354482194024,0.7591956610724521,0.7668808841588212
FedDyn data-size weighted,accuracy,1200,0.7647462136717152,0.7627179697093738,0.7657941056078592
FedDyn data-size weighted,accuracy,1350,0.7576954564060582,0.7559823986901351,0.7604564060581254
FedDyn data-size weighted,accuracy,1500,0.7522670214217492,0.7506590257879655,0.7548731068358575
