algorithm,metric,x,y_mean,y_min,y_max
FedLT uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedLT uniform,server accuracy,150,0.045094828762450544,0.044617273843634876,0.046049938600081865
FedLT uniform,server accuracy,300,0.045094828762450544,0.044617273843634876,0.046049938600081865
FedLT uniform,server accuracy,450,0.05512348205757948,0.044617273843634876,0.07613589848546869
FedLT uniform,server accuracy,600,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,750,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,900,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,1050,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,1200,0.04482194023741302,0.044617273843634876,0.04502660663119116
FedLT uniform,server accuracy,1350,0.05403192795742939,0.04789193614408514,0.06160458452722063
FedLT uniform,server accuracy,1500,0.1002865329512894,0.0904625460499386,0.11768317642243144
FedLT uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedLT uniform,accuracy,150,0.043530495292672944,0.043432255423659444,0.043694228407695455
FedLT uniform,accuracy,300,0.04309592031655069,0.04279983626688498,0.043507981989357354
FedLT uniform,accuracy,450,0.04332037112839405,0.042887842816209575,0.04367580843225542
FedLT uniform,accuracy,600,0.04422363214626825,0.04392140810478919,0.04445763405648792
FedLT uniform,accuracy,750,0.044573611679628866,0.044316414244781006,0.04490380679492428
FedLT uniform,accuracy,900,0.04477759585209442,0.04417519443307409,0.04557511256651658
FedLT uniform,accuracy,1050,0.048123891390367025,0.046584117887842814,0.04949652067130576
FedLT uniform,accuracy,1200,0.052556965479601585,0.049875153499795336,0.05622185837085551
FedLT uniform,accuracy,1350,0.0607825078455451,0.05860622185837086,0.0631825624232501
FedLT uniform,accuracy,1500,0.08121844726429255,0.07687065083913222,0.08708759721653703
FedLT uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedLT uniform,loss,150,3.57094912370046,3.5638432145118712,3.5746800613403322
FedLT uniform,loss,300,3.597220436731974,3.5906964135169983,3.6007375741004943
FedLT uniform,loss,450,3.5753793144226074,3.572963094711304,3.576992402076721
FedLT uniform,loss,600,3.5726713617642716,3.5679526710510254,3.5761858201026917
FedLT uniform,loss,750,3.562945296764374,3.556879506111145,3.5697076392173765
FedLT uniform,loss,900,3.5496950062115986,3.5448576998710633,3.5592300271987916
FedLT uniform,loss,1050,3.5449121395746865,3.5364433193206786,3.55486967086792
FedLT uniform,loss,1200,3.523165188630422,3.5196184062957765,3.5288043999671936
FedLT uniform,loss,1350,3.495005465348562,3.485980942249298,3.502881407737732
FedLT uniform,loss,1500,3.4218213804562887,3.4026256561279298,3.4360753655433656
FedLT uniform,client drift from server,0,0.0,0.0,0.0
FedLT uniform,client drift from server,150,2.760134278138479,2.7075685143470762,2.790316047668457
FedLT uniform,client drift from server,300,2.3830066045125324,2.375131461620331,2.392106144428253
FedLT uniform,client drift from server,450,2.3952578592300413,2.3802695727348326,2.4044071769714357
FedLT uniform,client drift from server,600,2.4195746405919394,2.4117810797691344,2.424133734703064
FedLT uniform,client drift from server,750,2.4436840152740475,2.4332940053939818,2.4513170766830443
FedLT uniform,client drift from server,900,2.461647772789002,2.4519389200210573,2.4670339465141295
FedLT uniform,client drift from server,1050,2.479345413049062,2.470140857696533,2.484603886604309
FedLT uniform,client drift from server,1200,2.492803831100464,2.4865626001358034,2.496364538669586
FedLT uniform,client drift from server,1350,2.4992724418640138,2.4945703315734864,2.506208264827728
FedLT uniform,client drift from server,1500,2.4922661177317305,2.484188964366913,2.4963698196411133
FedLT data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
