algorithm,metric,x,y_mean,y_min,y_max
FedLT uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedLT uniform,server accuracy,500,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,1000,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedLT uniform,server accuracy,1500,0.0981716468822486,0.09107654523127302,0.11195251739664347
FedLT uniform,server accuracy,2000,0.2571292127166053,0.24948833401555465,0.26668031109291856
FedLT uniform,server accuracy,2500,0.31552735707463503,0.30004093327875564,0.32971756037658617
FedLT uniform,server accuracy,3000,0.349229089916769,0.33851821530904624,0.36123618501842
FedLT uniform,server accuracy,3500,0.3999181334424888,0.3870241506344658,0.4119934506753991
FedLT uniform,server accuracy,4000,0.44167007777322964,0.4158821121571838,0.45517805976258696
FedLT uniform,server accuracy,4500,0.48185291308500483,0.459476054031928,0.4961113385182153
FedLT uniform,server accuracy,5000,0.518829308227589,0.5051166598444535,0.5356119525173967
FedLT uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedLT uniform,accuracy,500,0.043840905989903124,0.043305362259516984,0.044146541137945146
FedLT uniform,accuracy,1000,0.04680038204393505,0.044742120343839537,0.04848342202210398
FedLT uniform,accuracy,1500,0.07971687815527356,0.07598649201801064,0.08230863692181742
FedLT uniform,accuracy,2000,0.2081382180379315,0.20522513303315593,0.21167621776504297
FedLT uniform,accuracy,2500,0.2636676217765043,0.2576176831764224,0.27226156365124843
FedLT uniform,accuracy,3000,0.30449924955655616,0.29893368808841586,0.31168031109291855
FedLT uniform,accuracy,3500,0.3430918269886752,0.3367478510028654,0.3521305771592305
FedLT uniform,accuracy,4000,0.3834670487106016,0.36474416700777723,0.3950266066311911
FedLT uniform,accuracy,4500,0.4190585345886206,0.38889480147359806,0.4442345476872697
FedLT uniform,accuracy,5000,0.4537153772683858,0.42866352844862865,0.48437167417110105
FedLT uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedLT uniform,loss,500,3.568489305973053,3.56736364364624,3.5706546235084535
FedLT uniform,loss,1000,3.5496377174059552,3.5459248089790343,3.5563678455352785
FedLT uniform,loss,1500,3.428312514623007,3.4277767062187197,3.4291155672073366
FedLT uniform,loss,2000,2.737253426710765,2.7306701302528382,2.7459102153778074
FedLT uniform,loss,2500,2.345597434838613,2.329605211019516,2.366632170677185
FedLT uniform,loss,3000,2.100720910628637,2.085506533384323,2.1219109570980073
FedLT uniform,loss,3500,1.9267652916908264,1.896692634820938,1.9735365164279939
FedLT uniform,loss,4000,1.771717917919159,1.7242173099517821,1.818364850282669
FedLT uniform,loss,4500,1.6217918741703035,1.5230623799562455,1.700565329194069
FedLT uniform,loss,5000,1.5004438769817352,1.4000585347414016,1.5802170902490615
FedLT uniform,client drift from server,0,0.0,0.0,0.0
FedLT uniform,client drift from server,500,2.4043034474054976,2.3980464267730714,2.4084189414978026
FedLT uniform,client drift from server,1000,2.477046802043915,2.474065728187561,2.4785434341430665
FedLT uniform,client drift from server,1500,2.502725908756256,2.4926763701438905,2.511117205619812
FedLT uniform,client drift from server,2000,2.4563284150759377,2.4413681960105897,2.4782884907722473
FedLT uniform,client drift from server,2500,2.4369449456532797,2.411017801761627,2.4614933037757876
FedLT uniform,client drift from server,3000,2.4455375266075134,2.4130063486099242,2.464381058216095
FedLT uniform,client drift from server,3500,2.436257490317027,2.403176028728485,2.459906692504883
FedLT uniform,client drift from server,4000,2.44956151564916,2.416451704502106,2.468075940608978
FedLT uniform,client drift from server,4500,2.4595624351501466,2.4270736145973206,2.477031795978546
FedLT uniform,client drift from server,5000,2.4729504942893983,2.4407371520996093,2.4944209384918214
FedLT data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedLT data-size weighted,server accuracy,500,0.04257060990585346,0.04257060990585346,0.04257060990585346
FedLT data-size weighted,server accuracy,1000,0.04229772138081594,0.04154727793696275,0.0427752762996316
FedLT data-size weighted,server accuracy,1500,0.18031109291854278,0.1700777732296357,0.1882930822758903
FedLT data-size weighted,server accuracy,2000,0.2999727111474963,0.2957429390094147,0.30413426115431846
FedLT data-size weighted,server accuracy,2500,0.35366352844862875,0.3428162095783872,0.37351616864510845
FedLT data-size weighted,server accuracy,3000,0.4057170145995361,0.37617683176422434,0.452312730249693
FedLT data-size weighted,server accuracy,3500,0.4559285032064401,0.4164961113385182,0.5208759721653704
FedLT data-size weighted,server accuracy,4000,0.4932460090053213,0.4559967253376995,0.5654932460090053
FedLT data-size weighted,server accuracy,4500,0.5291308500477555,0.4735980352026197,0.6166598444535407
FedLT data-size weighted,server accuracy,5000,0.5585345886205485,0.5141219811706917,0.6449038067949243
FedLT data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedLT data-size weighted,accuracy,500,0.043933688088415884,0.043575521899304144,0.044134261154318455
FedLT data-size weighted,accuracy,1000,0.04817846909537455,0.04767294310274254,0.04917110110519853
FedLT data-size weighted,accuracy,1500,0.13299768044753718,0.1230515759312321,0.1411318051575931
FedLT data-size weighted,accuracy,2000,0.23488811570473458,0.22687269750306996,0.24019238641015142
FedLT data-size weighted,accuracy,2500,0.29018078864783736,0.27226770364306185,0.3130433892754809
FedLT data-size weighted,accuracy,3000,0.3416202756174103,0.30717355710192384,0.3957265656979124
FedLT data-size weighted,accuracy,3500,0.3776640742256789,0.34716741711011045,0.43451494064674584
FedLT data-size weighted,accuracy,4000,0.42085141219811706,0.3755955792058943,0.49745804338927546
FedLT data-size weighted,accuracy,4500,0.4519395551917042,0.40169873106835846,0.5436696684404421
FedLT data-size weighted,accuracy,5000,0.47956337835993995,0.43126074498567335,0.5692529676627098
FedLT data-size weighted,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedLT data-size weighted,loss,500,3.575974129041036,3.5709645771980285,3.5824692392349244
FedLT data-size weighted,loss,1000,3.5426710613568626,3.536992015838623,3.552949869632721
FedLT data-size weighted,loss,1500,3.1597358489036558,3.107676155567169,3.2233699226379393
FedLT data-size weighted,loss,2000,2.5164579129219056,2.496946814060211,2.5524941158294676
FedLT data-size weighted,loss,2500,2.218860243558884,2.172643197774887,2.2654902374744417
FedLT data-size weighted,loss,3000,1.9756558231512706,1.8318401408195495,2.0724792778491974
FedLT data-size weighted,loss,3500,1.7980707289775213,1.5906766003370285,1.9139262223243714
FedLT data-size weighted,loss,4000,1.6511237271626789,1.3994188940525054,1.8148632037639618
FedLT data-size weighted,loss,4500,1.5323438050349554,1.241916076540947,1.6957293629646302
FedLT data-size weighted,loss,5000,1.416280736923218,1.1300450921058656,1.5652781361341477
FedLT data-size weighted,client drift from server,0,0.0,0.0,0.0
FedLT data-size weighted,client drift from server,500,2.401085999806722,2.400132613182068,2.402141983509064
FedLT data-size weighted,client drift from server,1000,2.4622657815615336,2.460782790184021,2.46405091047287
FedLT data-size weighted,client drift from server,1500,2.5015571331977844,2.491748116016388,2.50822491645813
FedLT data-size weighted,client drift from server,2000,2.438356021245321,2.4325408506393433,2.444359495639801
FedLT data-size weighted,client drift from server,2500,2.44055717865626,2.429668715000153,2.4487790131568907
FedLT data-size weighted,client drift from server,3000,2.4463938228289286,2.4274283599853517,2.4591167783737182
FedLT data-size weighted,client drift from server,3500,2.453183999856313,2.44133287191391,2.460132846832275
FedLT data-size weighted,client drift from server,4000,2.465971910158793,2.455443639755249,2.4732673454284666
