algorithm,metric,x,y_mean,y_min,y_max
FedNova uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedNova uniform,server accuracy,150,0.5336335107108746,0.4926320098239869,0.5579205894392141
FedNova uniform,server accuracy,300,0.7601992086232774,0.7476463364715513,0.7677036430618093
FedNova uniform,server accuracy,450,0.7962887160594896,0.7908309455587392,0.80065493246009
FedNova uniform,server accuracy,600,0.8184609087187885,0.8084322554236595,0.8243962341383545
FedNova uniform,server accuracy,750,0.8166871333060445,0.8110929185427753,0.8198935734752354
FedNova uniform,server accuracy,900,0.8138218037931505,0.8045435939418747,0.8262382316823578
FedNova uniform,server accuracy,1050,0.8129349160867786,0.8090462546049939,0.8176422431436758
FedNova uniform,server accuracy,1200,0.8100013644426252,0.7979942693409742,0.8188702415063447
FedNova uniform,server accuracy,1350,0.8200300177377541,0.8184609087187884,0.8231682357756857
FedNova uniform,server accuracy,1500,0.813003138218038,0.8082275890298813,0.8217355710192387
FedNova uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedNova uniform,accuracy,150,0.5012907627234274,0.4854502660663119,0.512284076954564
FedNova uniform,accuracy,300,0.7640135079819893,0.7581027425296766,0.7678162095783873
FedNova uniform,accuracy,450,0.7955792058943921,0.7889009414654113,0.8022472370036838
FedNova uniform,accuracy,600,0.8107954700504845,0.8090564879246829,0.8117478510028655
FedNova uniform,accuracy,750,0.8161665984445353,0.8139193614408513,0.8186655751125665
FedNova uniform,accuracy,900,0.8171455860281074,0.8116864510847318,0.8220794105607859
FedNova uniform,accuracy,1050,0.8187153772683858,0.8182685223086369,0.8195476872697501
FedNova uniform,accuracy,1200,0.8203315595579207,0.8157941056078593,0.8250716332378224
FedNova uniform,accuracy,1350,0.8210915541001501,0.8192857142857143,0.8223823168235777
FedNova uniform,accuracy,1500,0.818737208350389,0.8165206713057716,0.8212402783462958
FedNova uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
