algorithm,metric,x,y_mean,y_min,y_max
FedAdam uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedAdam uniform,server accuracy,150,0.4199072179014873,0.39562013917314776,0.44924273434302087
FedAdam uniform,server accuracy,300,0.7089643880474825,0.6774457634056488,0.7318870241506344
FedAdam uniform,server accuracy,450,0.759585209441943,0.7480556692591076,0.7711829717560377
FedAdam uniform,server accuracy,600,0.7794378496384228,0.7650429799426934,0.7879656160458453
FedAdam uniform,server accuracy,750,0.7624505389548369,0.7128530495292673,0.7924682767089644
FedAdam uniform,server accuracy,900,0.7880338381771046,0.7779369627507163,0.7986082685223086
FedAdam uniform,server accuracy,1050,0.7586300996043116,0.7325010233319689,0.7893982808022922
FedAdam uniform,server accuracy,1200,0.7829854004639104,0.7758902988129349,0.7883749488334015
FedAdam uniform,server accuracy,1350,0.7980624914722335,0.7936962750716332,0.8018829308227589
FedAdam uniform,server accuracy,1500,0.7842133988265793,0.7632009823986902,0.8033155955792058
FedAdam uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedAdam uniform,accuracy,150,0.32538136171373994,0.2974928366762178,0.3477036430618093
FedAdam uniform,accuracy,300,0.6771087460772275,0.6713569381907492,0.6831846090871878
FedAdam uniform,accuracy,450,0.7413214626824942,0.7391240278346295,0.7429185427752764
FedAdam uniform,accuracy,600,0.7630931914313003,0.7565575112566516,0.7703049529267294
FedAdam uniform,accuracy,750,0.773238504570883,0.7702108063855917,0.7768563241915676
FedAdam uniform,accuracy,900,0.7825474143812251,0.7784404420794105,0.7852722063037249
FedAdam uniform,accuracy,1050,0.7842707054168372,0.7818419975440034,0.7880045026606629
FedAdam uniform,accuracy,1200,0.790396370582617,0.7883503888661484,0.7938497748669667
FedAdam uniform,accuracy,1350,0.7906644835584663,0.7896868604175193,0.7914449447400735
FedAdam uniform,accuracy,1500,0.7918720152817573,0.7898403602128529,0.7935264019647973
FedAdam uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedAdam uniform,loss,150,1.893795751531919,1.7749946922063828,2.0529633831977843
FedAdam uniform,loss,300,0.4598426205540697,0.44267610263079404,0.47775982931256294
FedAdam uniform,loss,450,0.27269499513010187,0.26477890873327853,0.2876025101915002
FedAdam uniform,loss,600,0.2013551724453767,0.1931305082142353,0.21214754050597548
FedAdam uniform,loss,750,0.15884553386829792,0.15406953955069183,0.16605147428810596
FedAdam uniform,loss,900,0.13081876728683708,0.12632510244846343,0.13761647602543234
FedAdam uniform,loss,1050,0.11171874842296044,0.10622252566739916,0.12057888525538146
FedAdam uniform,loss,1200,0.09576926719707747,0.09268262790516019,0.1000387098453939
FedAdam uniform,loss,1350,0.08395336572080851,0.08029192801564931,0.09057189031504094
FedAdam uniform,loss,1500,0.07420114351281275,0.07140015912707895,0.07770969346165657
FedAdam uniform,client drift from server,0,0.0,0.0,0.0
FedAdam uniform,client drift from server,150,8.973154408137004,8.957004690170288,9.005234298706055
FedAdam uniform,client drift from server,300,9.097258122762044,9.077461967468262,9.10894835472107
