algorithm,metric,x,y_mean,y_min,y_max
FedProx uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedProx uniform,server accuracy,150,0.044617273843634876,0.044617273843634876,0.044617273843634876
FedProx uniform,server accuracy,300,0.4074225678810206,0.3978714695047073,0.41915677445763405
FedProx uniform,server accuracy,450,0.6283258288988948,0.6072451903397462,0.6412198117069178
FedProx uniform,server accuracy,600,0.6962068495019785,0.6932050757265656,0.69934506753991
FedProx uniform,server accuracy,750,0.7343430208759721,0.7249283667621776,0.7437576749897666
FedProx uniform,server accuracy,900,0.7676354209305498,0.7654523127302497,0.7693409742120344
FedProx uniform,server accuracy,1050,0.7713194160185565,0.760130986492018,0.7797789602947196
FedProx uniform,server accuracy,1200,0.7754809660253787,0.7531723291035612,0.7920589439214081
FedProx uniform,server accuracy,1350,0.795265384090599,0.7943102742529676,0.7961522717969709
FedProx uniform,server accuracy,1500,0.7969027152408241,0.7945149406467458,0.799222267703643
FedProx uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedProx uniform,accuracy,150,0.044662982671578665,0.04456610724519035,0.0447584936553418
FedProx uniform,accuracy,300,0.31737481238913906,0.3137249283667622,0.32194023741301686
FedProx uniform,accuracy,450,0.5161857006412881,0.507715923045436,0.529727793696275
FedProx uniform,accuracy,600,0.6162730249693001,0.6033237822349572,0.6293123209169054
FedProx uniform,accuracy,750,0.6647714558602811,0.6552415063446583,0.6725153499795335
FedProx uniform,accuracy,900,0.6860635830263337,0.6806528857961522,0.6918583708555056
FedProx uniform,accuracy,1050,0.7068215309046254,0.7014531313958249,0.7129042161277119
FedProx uniform,accuracy,1200,0.7137754127438941,0.712142857142857,0.7146356938190749
FedProx uniform,accuracy,1350,0.7242850320644019,0.7206713057715924,0.727846909537454
FedProx uniform,accuracy,1500,0.7300463910492563,0.7288804748260334,0.7308125255832992
FedProx uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
FedProx uniform,loss,150,3.5149247256914773,3.5146277356147766,3.5154343008995057
FedProx uniform,loss,300,1.9616385489702226,1.9267052990198135,1.9798458421230316
FedProx uniform,loss,450,1.0599926843742529,1.0172285963594914,1.082886294722557
FedProx uniform,loss,600,0.6938199369361003,0.6625668685883284,0.7184258071333169
FedProx uniform,loss,750,0.5351361065109571,0.5197714667767286,0.5645660144463182
FedProx uniform,loss,900,0.4701340336104234,0.4595326051861048,0.4879211136698723
FedProx uniform,loss,1050,0.4029654267678658,0.38101583264768124,0.42167923010885716
FedProx uniform,loss,1200,0.3779737117451926,0.3729395612515509,0.38061667248606684
FedProx uniform,loss,1350,0.3535210081376135,0.3387913901731372,0.3699574971571565
FedProx uniform,loss,1500,0.33074809675415356,0.32297485806047915,0.33913286712020635
FedProx uniform,client drift from server,0,0.0,0.0,0.0
FedProx uniform,client drift from server,150,0.3191878593961398,0.3092448651790619,0.32493986159563065
FedProx uniform,client drift from server,300,1.0036623884240787,0.926287799179554,1.076243790090084
FedProx uniform,client drift from server,450,0.8041711728771528,0.7725594514608383,0.8367466312646866
FedProx uniform,client drift from server,600,0.7471266010403633,0.7286137470602989,0.7751585018634796
FedProx uniform,client drift from server,750,0.7098216411471366,0.6952681118249893,0.731047377884388
FedProx uniform,client drift from server,900,0.6701674431562424,0.6493192428350448,0.6915285754203796
FedProx uniform,client drift from server,1050,0.6455993882815042,0.6419671681523323,0.6519978648424148
FedProx uniform,client drift from server,1200,0.6437629477183023,0.6344224083423614,0.6569687730073929
FedProx uniform,client drift from server,1350,0.6312978475292524,0.6241255846619606,0.6375986868143082
FedProx uniform,client drift from server,1500,0.6358517668644587,0.6011662352085113,0.6534210094809532
FedProx data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
FedProx data-size weighted,server accuracy,150,0.05880747714558603,0.044617273843634876,0.08145722472370037
FedProx data-size weighted,server accuracy,300,0.4160867785509619,0.3927548096602538,0.4279574293900941
FedProx data-size weighted,server accuracy,450,0.6194569518351754,0.6002865329512894,0.6467458043389276
FedProx data-size weighted,server accuracy,600,0.7044617273843635,0.6753990994678674,0.7198117069177241
FedProx data-size weighted,server accuracy,750,0.7475781143402919,0.7408923454768727,0.7560376586164552
FedProx data-size weighted,server accuracy,900,0.7743894119252285,0.7634056487924683,0.7808022922636103
FedProx data-size weighted,server accuracy,1050,0.7813480693136854,0.7777322963569382,0.7881702824396234
FedProx data-size weighted,server accuracy,1200,0.790421612771183,0.7838722881702824,0.7939009414654113
FedProx data-size weighted,server accuracy,1350,0.7858507299768044,0.7748669668440442,0.7973802701596397
FedProx data-size weighted,server accuracy,1500,0.8064538136171374,0.8016782644289807,0.8090462546049939
FedProx data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
FedProx data-size weighted,accuracy,150,0.04392823031791513,0.043401555464592706,0.04446377404830128
FedProx data-size weighted,accuracy,300,0.26846090871878836,0.2532664756446991,0.27670487106017194
FedProx data-size weighted,accuracy,450,0.5102531041069723,0.4979021694637741,0.5308821121571837
FedProx data-size weighted,accuracy,600,0.6234997953336062,0.6075603765861645,0.6360540319279574
FedProx data-size weighted,accuracy,750,0.6722936280529405,0.6631150225133033,0.6835816618911176
FedProx data-size weighted,accuracy,900,0.6991076545231273,0.6953704461727384,0.7056590257879656
FedProx data-size weighted,accuracy,1050,0.715824805566926,0.7079615227179699,0.7230577159230456
FedProx data-size weighted,accuracy,1200,0.7211734206576613,0.7157142857142857,0.7242959476054032
FedProx data-size weighted,accuracy,1350,0.7368672397325694,0.7337372083503889,0.740169873106836
