algorithm,metric,x,y_mean,y_min,y_max
SCAFFOLD uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
SCAFFOLD uniform,server accuracy,150,0.045777050075044345,0.044617273843634876,0.048096602537863284
SCAFFOLD uniform,server accuracy,300,0.04666393778141629,0.044207941056078594,0.05116659844453541
SCAFFOLD uniform,server accuracy,450,0.04291172056215036,0.03950061399918133,0.044617273843634876
SCAFFOLD uniform,server accuracy,600,0.044617273843634876,0.044617273843634876,0.044617273843634876
SCAFFOLD uniform,server accuracy,750,0.04598171646882249,0.044617273843634876,0.048096602537863284
SCAFFOLD uniform,server accuracy,900,0.04495838449993178,0.044617273843634876,0.0452312730249693
SCAFFOLD uniform,server accuracy,1050,0.04434438531859736,0.04379860826852231,0.044617273843634876
SCAFFOLD uniform,server accuracy,1200,0.04407149679355984,0.04297994269340974,0.044617273843634876
SCAFFOLD uniform,server accuracy,1350,0.04448082958111612,0.04359394187474417,0.0452312730249693
SCAFFOLD uniform,server accuracy,1500,0.0452312730249693,0.0452312730249693,0.0452312730249693
SCAFFOLD uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
SCAFFOLD uniform,accuracy,150,0.045313821803793154,0.04512279983626689,0.04563651248465003
SCAFFOLD uniform,accuracy,300,0.04544890162368673,0.045098239869013505,0.04580229226361032
SCAFFOLD uniform,accuracy,450,0.045383408377677716,0.045026606631191166,0.04587187883749489
SCAFFOLD uniform,accuracy,600,0.04527834629553828,0.04513303315595579,0.04538067949242735
SCAFFOLD uniform,accuracy,750,0.04513371537726838,0.0447462136717151,0.045390912812116255
SCAFFOLD uniform,accuracy,900,0.04525856187747306,0.04472165370446174,0.045548505935325424
SCAFFOLD uniform,accuracy,1050,0.04519170418883886,0.04472574703233729,0.04547073270568973
SCAFFOLD uniform,accuracy,1200,0.045263337426661214,0.04465206713057715,0.04592304543593942
SCAFFOLD uniform,accuracy,1350,0.04510437986082686,0.04463364715513714,0.04574293900941466
SCAFFOLD uniform,accuracy,1500,0.04481170691772412,0.04372492836676219,0.0459803520261973
SCAFFOLD uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
SCAFFOLD uniform,loss,150,3.668249855836233,3.6654528379440308,3.670545654296875
SCAFFOLD uniform,loss,300,3.6683955613772077,3.6671942496299743,3.6698532938957213
SCAFFOLD uniform,loss,450,3.6636271707216896,3.6623026180267333,3.6651918959617613
SCAFFOLD uniform,loss,600,3.665251778761546,3.6638256216049196,3.666208577156067
SCAFFOLD uniform,loss,750,3.6682903703053795,3.6635487627983094,3.6746390080451965
SCAFFOLD uniform,loss,900,3.6690409302711484,3.666118314266205,3.6732903289794923
SCAFFOLD uniform,loss,1050,3.670228328704834,3.6692655372619627,3.6709202837944033
SCAFFOLD uniform,loss,1200,3.6758709295590717,3.6744351625442504,3.6770842838287354
SCAFFOLD uniform,loss,1350,3.675594000816345,3.67141708612442,3.6793574023246767
SCAFFOLD uniform,loss,1500,3.682685891787211,3.6776519131660463,3.6882784843444822
SCAFFOLD uniform,client drift from server,0,0.0,0.0,0.0
SCAFFOLD uniform,client drift from server,150,7.203177205721538,7.202866520881653,7.2034032344818115
SCAFFOLD uniform,client drift from server,300,7.202196175257366,7.202031812667847,7.202387261390686
SCAFFOLD uniform,client drift from server,450,7.201946794191996,7.201783447265625,7.202051067352295
SCAFFOLD uniform,client drift from server,600,7.201933600107829,7.201762218475341,7.20202684879303
SCAFFOLD uniform,client drift from server,750,7.201994711558025,7.201930966377258,7.202096762657166
SCAFFOLD uniform,client drift from server,900,7.202002083460489,7.20180419921875,7.202120399475097
SCAFFOLD uniform,client drift from server,1050,7.201965700785318,7.201860880851745,7.20204605102539
SCAFFOLD uniform,client drift from server,1200,7.20196503162384,7.201872444152832,7.202135977745056
SCAFFOLD uniform,client drift from server,1350,7.20189759572347,7.201794276237488,7.2020317029953
SCAFFOLD uniform,client drift from server,1500,7.201970192591349,7.201827874183655,7.202121782302856
SCAFFOLD data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
SCAFFOLD data-size weighted,server accuracy,150,0.04707327056897257,0.0452312730249693,0.05075726565697913
SCAFFOLD data-size weighted,server accuracy,300,0.04482194023741302,0.044617273843634876,0.0452312730249693
SCAFFOLD data-size weighted,server accuracy,450,0.04407149679355984,0.03950061399918133,0.048096602537863284
SCAFFOLD data-size weighted,server accuracy,600,0.044139718924819216,0.04257060990585346,0.0452312730249693
SCAFFOLD data-size weighted,server accuracy,750,0.04570882794378497,0.044412607449856735,0.048096602537863284
SCAFFOLD data-size weighted,server accuracy,900,0.044139718924819216,0.04257060990585346,0.0452312730249693
SCAFFOLD data-size weighted,server accuracy,1050,0.04291172056215036,0.03950061399918133,0.044617273843634876
SCAFFOLD data-size weighted,server accuracy,1200,0.043935052531041074,0.04257060990585346,0.044617273843634876
SCAFFOLD data-size weighted,server accuracy,1350,0.043935052531041074,0.04257060990585346,0.044617273843634876
SCAFFOLD data-size weighted,server accuracy,1500,0.044617273843634876,0.044617273843634876,0.044617273843634876
SCAFFOLD data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
SCAFFOLD data-size weighted,accuracy,150,0.045173284213398834,0.044952926729431034,0.045480966025378634
SCAFFOLD data-size weighted,accuracy,300,0.04480556692591078,0.04429594760540319,0.04548301268931643
SCAFFOLD data-size weighted,accuracy,450,0.045097557647700924,0.04494883340155546,0.04527015963978716
SCAFFOLD data-size weighted,accuracy,600,0.04467730931914313,0.04409128121162504,0.04518215309046255
SCAFFOLD data-size weighted,accuracy,750,0.04496043116386956,0.04479738027015964,0.04516987310683586
SCAFFOLD data-size weighted,accuracy,900,0.045030017737754134,0.04472984036021285,0.04527834629553828
SCAFFOLD data-size weighted,accuracy,1050,0.04459885386819484,0.04457429390094147,0.044625460499386
SCAFFOLD data-size weighted,accuracy,1200,0.04496111338518214,0.044516987310683584,0.04581252558329922
SCAFFOLD data-size weighted,accuracy,1350,0.04475303588484105,0.044398280802292266,0.04502865329512895
