algorithm,metric,x,y_mean,y_min,y_max
SCAFFOLD uniform,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
SCAFFOLD uniform,server accuracy,150,0.05137126483831356,0.04502660663119116,0.06180925092099877
SCAFFOLD uniform,server accuracy,300,0.3308773366079956,0.3151862464183381,0.3401555464592714
SCAFFOLD uniform,server accuracy,450,0.5712239050347933,0.5630372492836676,0.5759312320916905
SCAFFOLD uniform,server accuracy,600,0.6912266339200436,0.6872697503069995,0.6958657388456816
SCAFFOLD uniform,server accuracy,750,0.747237003683995,0.7468276708964388,0.7476463364715513
SCAFFOLD uniform,server accuracy,900,0.7709783053622595,0.7699549733933688,0.7722063037249284
SCAFFOLD uniform,server accuracy,1050,0.7881020603083639,0.7867376176831764,0.788988948014736
SCAFFOLD uniform,server accuracy,1200,0.7990176013098648,0.7955382726156365,0.8008595988538681
SCAFFOLD uniform,server accuracy,1350,0.805839814435803,0.8041342611543184,0.8080229226361032
SCAFFOLD uniform,server accuracy,1500,0.8115704734615911,0.8090462546049939,0.8145722472370037
SCAFFOLD uniform,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
SCAFFOLD uniform,accuracy,150,0.05996930004093328,0.059259107654523115,0.0605075726565698
SCAFFOLD uniform,accuracy,300,0.26367717287488057,0.25131191158411786,0.27283258288988943
SCAFFOLD uniform,accuracy,450,0.5399897666803111,0.5346766270978306,0.5446397871469505
SCAFFOLD uniform,accuracy,600,0.6699420111884296,0.6675337699549734,0.6738518215309048
SCAFFOLD uniform,accuracy,750,0.7306092236321463,0.729916086778551,0.7310519852640195
SCAFFOLD uniform,accuracy,900,0.7582009823986903,0.7573741301678265,0.7587392550143267
SCAFFOLD uniform,accuracy,1050,0.7767546732159913,0.7756753990994679,0.7783769954973394
SCAFFOLD uniform,accuracy,1200,0.7880856869968618,0.7877220630372491,0.7883954154727795
SCAFFOLD uniform,accuracy,1350,0.7971749215445488,0.7960049119934507,0.798059762586983
SCAFFOLD uniform,accuracy,1500,0.8026238231682358,0.8015738845681541,0.8040523945968071
SCAFFOLD uniform,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
SCAFFOLD uniform,loss,150,3.6399776283899943,3.6390287256240845,3.6404807496070863
SCAFFOLD uniform,loss,300,2.8328419009844463,2.7806970930099486,2.9078746747970583
SCAFFOLD uniform,loss,450,1.6435470763842266,1.5856850719451905,1.7258753991127014
SCAFFOLD uniform,loss,600,1.102026877005895,1.0868556341528892,1.114062329530716
SCAFFOLD uniform,loss,750,0.8588216826319695,0.8571834003925324,0.8602248607575893
SCAFFOLD uniform,loss,900,0.7311832796533903,0.7230485673248768,0.737255135923624
SCAFFOLD uniform,loss,1050,0.6489989369859298,0.6422042228281498,0.6610304284095764
SCAFFOLD uniform,loss,1200,0.590830828100443,0.5872305794060231,0.5961286135017871
SCAFFOLD uniform,loss,1350,0.5489138074964285,0.5452277292311192,0.5531914217025041
SCAFFOLD uniform,loss,1500,0.5196215348690748,0.515875920727849,0.5235721328109503
SCAFFOLD uniform,client drift from server,0,0.0,0.0,0.0
SCAFFOLD uniform,client drift from server,150,0.07411665816480915,0.07273050058633089,0.07492678310722113
SCAFFOLD uniform,client drift from server,300,0.22612378877898057,0.2234165672957897,0.22930572375655175
SCAFFOLD uniform,client drift from server,450,0.2116197236130635,0.19116321936249733,0.24920430548489095
SCAFFOLD uniform,client drift from server,600,0.1655092426389456,0.16011643007397652,0.1714503401517868
SCAFFOLD uniform,client drift from server,750,0.15070471845567227,0.15038525953888893,0.151118832975626
SCAFFOLD uniform,client drift from server,900,0.14353919064005216,0.1418406804651022,0.14564655661582948
SCAFFOLD uniform,client drift from server,1050,0.1414101621756951,0.134456183090806,0.1460284336656332
SCAFFOLD uniform,client drift from server,1200,0.1373167027408878,0.1359592405334115,0.13867282316088678
SCAFFOLD uniform,client drift from server,1350,0.13583073288202285,0.1347483904659748,0.13766448229551315
SCAFFOLD uniform,client drift from server,1500,0.13549111043413478,0.1331374255567789,0.13768646713346244
SCAFFOLD data-size weighted,server accuracy,0,0.005321326238231682,0.005321326238231682,0.005321326238231682
SCAFFOLD data-size weighted,server accuracy,150,0.04918815663801337,0.04502660663119116,0.05566925910765452
SCAFFOLD data-size weighted,server accuracy,300,0.31791513166871327,0.30495292672943103,0.3313548915268113
SCAFFOLD data-size weighted,server accuracy,450,0.39964524491745124,0.046049938600081865,0.5765452312730249
SCAFFOLD data-size weighted,server accuracy,600,0.4760540319279574,0.046049938600081865,0.6921817437576749
SCAFFOLD data-size weighted,server accuracy,750,0.5133033155955792,0.046049938600081865,0.7509209987720017
SCAFFOLD data-size weighted,server accuracy,900,0.5323372902169464,0.046049938600081865,0.7767089643880475
SCAFFOLD data-size weighted,server accuracy,1050,0.5430481648246691,0.046049938600081865,0.7959476054031928
SCAFFOLD data-size weighted,server accuracy,1200,0.5463910492563787,0.046049938600081865,0.8008595988538681
SCAFFOLD data-size weighted,server accuracy,1350,0.29963160049119936,0.046049938600081865,0.8067949242734344
SCAFFOLD data-size weighted,server accuracy,1500,0.3003820439350526,0.046049938600081865,0.8090462546049939
SCAFFOLD data-size weighted,accuracy,0,0.005321326238231683,0.005321326238231683,0.005321326238231683
SCAFFOLD data-size weighted,accuracy,150,0.05441942966298267,0.05217560376586165,0.056318051575931234
SCAFFOLD data-size weighted,accuracy,300,0.2390885523263747,0.23076135898485473,0.2528591895210806
SCAFFOLD data-size weighted,accuracy,450,0.3769934506753992,0.052758902988129366,0.5400654932460092
SCAFFOLD data-size weighted,accuracy,600,0.4615274935188975,0.046049938600081886,0.6719995906672124
SCAFFOLD data-size weighted,accuracy,750,0.49895210806385587,0.046049938600081886,0.7257306590257877
SCAFFOLD data-size weighted,accuracy,900,0.5195893027698185,0.046049938600081886,0.7589439214081048
SCAFFOLD data-size weighted,accuracy,1050,0.5274635011597762,0.046049938600081886,0.7726504297994268
SCAFFOLD data-size weighted,accuracy,1200,0.5303697639514259,0.046049938600081886,0.7807941056078593
SCAFFOLD data-size weighted,accuracy,1350,0.29122458725610584,0.046049938600081886,0.7815738845681538
SCAFFOLD data-size weighted,accuracy,1500,0.29243894119252284,0.046049938600081886,0.7852169463774048
SCAFFOLD data-size weighted,loss,0,4.125135293006897,4.125135293006897,4.125135293006897
SCAFFOLD data-size weighted,loss,150,3.65714058081309,3.6547284007072447,3.660750410556793
SCAFFOLD data-size weighted,loss,300,2.952594794432322,2.8724459648132323,2.999459295272827
SCAFFOLD data-size weighted,client drift from server,0,0.0,0.0,0.0
SCAFFOLD data-size weighted,client drift from server,150,0.0789002645201981,0.07604042923077942,0.08374064270406961
SCAFFOLD data-size weighted,client drift from server,300,0.22668071595331032,0.20677096962928773,0.2406209684163332
