algorithm,metric,statistic,mean,margin_of_error
SCAFFOLD uniform,server accuracy,,0.8115704734615911,0.0069401280229219875
SCAFFOLD uniform,accuracy,avg,0.8026238231682358,0.0031844233944522404
SCAFFOLD uniform,loss,avg,0.5196215348690748,0.009569391758042611
SCAFFOLD uniform,client drift from server,min,0.06024090821544329,0.026760646818928917
SCAFFOLD uniform,client drift from server,avg,0.13549111043413478,0.005660480316788313
SCAFFOLD uniform,client drift from server,max,0.4798389474550883,0.004758268249229092
SCAFFOLD uniform,fraction selected clients,,0.20000000000000004,0.0
SCAFFOLD uniform,nr gradient calls,avg,48000.0,0.0
SCAFFOLD uniform,nr gradient calls,sum,4800000.0,0.0
SCAFFOLD uniform,nr sent messages,avg,1188.118811881188,0.0
SCAFFOLD uniform,nr sent messages,sum,120000.0,0.0
SCAFFOLD uniform,nr received messages,avg,1188.118811881188,0.0
SCAFFOLD uniform,nr received messages,sum,120000.0,0.0
SCAFFOLD data-size weighted,server accuracy,,0.3003820439350526,1.094302727282439
SCAFFOLD data-size weighted,accuracy,avg,0.29243894119252284,1.0601263145846134
SCAFFOLD data-size weighted,loss,avg,,
SCAFFOLD data-size weighted,client drift from server,min,,
SCAFFOLD data-size weighted,client drift from server,avg,,
SCAFFOLD data-size weighted,client drift from server,max,,
SCAFFOLD data-size weighted,fraction selected clients,,0.20000000000000004,0.0
SCAFFOLD data-size weighted,nr gradient calls,avg,48000.0,0.0
SCAFFOLD data-size weighted,nr gradient calls,sum,4800000.0,0.0
SCAFFOLD data-size weighted,nr sent messages,avg,1188.118811881188,0.0
SCAFFOLD data-size weighted,nr sent messages,sum,120000.0,0.0
SCAFFOLD data-size weighted,nr received messages,avg,1188.118811881188,0.0
SCAFFOLD data-size weighted,nr received messages,sum,120000.0,0.0
