algorithm,metric,x,y_mean,y_min,y_max
FedNova uniform,server accuracy,0,0.006088825214899713,0.0060888252148997134,0.0060888252148997134
FedNova uniform,server accuracy,150,0.7596107927411652,0.7560888252148997,0.7643266475644699
FedNova uniform,server accuracy,300,0.850883476599809,0.8431232091690545,0.855121776504298
FedNova uniform,server accuracy,450,0.8675382043935053,0.8646131805157593,0.8696275071633238
FedNova uniform,server accuracy,600,0.8699259789875836,0.8588825214899714,0.8827005730659025
FedNova uniform,server accuracy,750,0.8721943648519579,0.8708810888252149,0.8737464183381088
FedNova uniform,server accuracy,900,0.8717168099331424,0.8612106017191977,0.8796561604584527
FedNova uniform,server accuracy,1050,0.8778056351480421,0.8762535816618912,0.8805515759312321
FedNova uniform,server accuracy,1200,0.8761938872970392,0.8726719197707736,0.8809097421203438
FedNova uniform,server accuracy,1350,0.8789398280802292,0.8773280802292264,0.8801934097421203
FedNova uniform,server accuracy,1500,0.8752984718242599,0.8698065902578797,0.8801934097421203
FedNova uniform,accuracy,0,0.006088825214899714,0.006088825214899714,0.006088825214899714
FedNova uniform,accuracy,150,0.6914183381088826,0.6875877507163325,0.6940813037249284
FedNova uniform,accuracy,300,0.8208506446991404,0.816095988538682,0.8237338825214898
FedNova uniform,accuracy,450,0.8468767908309456,0.8465633954154727,0.8473370343839541
FedNova uniform,accuracy,600,0.8556799188156639,0.851599212034384,0.8577310171919773
FedNova uniform,accuracy,750,0.8621436246418339,0.8589666905444127,0.8656805157593124
FedNova uniform,accuracy,900,0.8660756924546322,0.8628742836676218,0.8678348853868195
FedNova uniform,accuracy,1050,0.8673883715377269,0.8632897564469915,0.8697600286532952
FedNova uniform,accuracy,1200,0.8696573543457498,0.8676790830945559,0.8707879656160459
FedNova uniform,accuracy,1350,0.8702692215854823,0.8679817335243554,0.8721776504297993
FedNova uniform,accuracy,1500,0.8719657354345749,0.8706643982808023,0.874208452722063
FedNova uniform,client drift from server,0,0.0,0.0,0.0
FedNova uniform,client drift from server,150,0.5260770346224308,0.5039516620337963,0.5484644399583339
FedNova uniform,client drift from server,300,0.31845411978662014,0.31514968156814577,0.32189823403954504
