algorithm,metric,statistic,mean,margin_of_error
SCAFFOLD uniform,server accuracy,,0.8630611270296084,0.005924141825330298
SCAFFOLD uniform,accuracy,avg,0.8489905682903532,0.0017528345868508266
SCAFFOLD uniform,loss,avg,0.4178240255142252,0.006047175195760202
SCAFFOLD uniform,client drift from server,min,0.06082319219907125,0.0038061551788354728
SCAFFOLD uniform,client drift from server,avg,0.13612724314133326,0.004923482429904619
SCAFFOLD uniform,client drift from server,max,0.2559420516093572,0.017204685672119524
SCAFFOLD uniform,fraction selected clients,,0.20000000000000004,0.0
SCAFFOLD uniform,nr gradient calls,avg,48000.0,0.0
SCAFFOLD uniform,nr gradient calls,sum,4800000.0,0.0
SCAFFOLD uniform,nr sent messages,avg,1188.118811881188,0.0
SCAFFOLD uniform,nr sent messages,sum,120000.0,0.0
SCAFFOLD uniform,nr received messages,avg,1188.118811881188,0.0
SCAFFOLD uniform,nr received messages,sum,120000.0,0.0
SCAFFOLD data-size weighted,server accuracy,,0.0419054441260745,0.0
SCAFFOLD data-size weighted,accuracy,avg,0.0419054441260745,0.0
SCAFFOLD data-size weighted,loss,avg,,
SCAFFOLD data-size weighted,client drift from server,min,,
SCAFFOLD data-size weighted,client drift from server,avg,,
SCAFFOLD data-size weighted,client drift from server,max,,
SCAFFOLD data-size weighted,fraction selected clients,,0.20000000000000004,0.0
SCAFFOLD data-size weighted,nr gradient calls,avg,48000.0,0.0
SCAFFOLD data-size weighted,nr gradient calls,sum,4800000.0,0.0
SCAFFOLD data-size weighted,nr sent messages,avg,1188.118811881188,0.0
SCAFFOLD data-size weighted,nr sent messages,sum,120000.0,0.0
SCAFFOLD data-size weighted,nr received messages,avg,1188.118811881188,0.0
SCAFFOLD data-size weighted,nr received messages,sum,120000.0,0.0
