algorithm,metric,x,y_mean,y_min,y_max
FedDyn uniform,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedDyn uniform,server accuracy,150,0.3945578231292517,0.3877551020408163,0.40737071527640184
FedDyn uniform,server accuracy,300,0.806485701076547,0.7996829799881118,0.81018426788191
FedDyn uniform,server accuracy,450,0.853246152830064,0.8513968694273826,0.8567465821279968
FedDyn uniform,server accuracy,600,0.865860907469784,0.8650683574400634,0.8672478700217952
FedDyn uniform,server accuracy,750,0.8687669242454263,0.8622944323360412,0.8735882702595601
FedDyn uniform,server accuracy,900,0.8692952909319067,0.8676441450366554,0.872201307707549
FedDyn uniform,server accuracy,1050,0.8713427118420184,0.8656627699623539,0.877154745393303
FedDyn uniform,server accuracy,1200,0.8725315368865992,0.8662571824846443,0.8761640578561521
FedDyn uniform,server accuracy,1350,0.8705501618122978,0.8660590449772142,0.8727957202298395
FedDyn uniform,server accuracy,1500,0.869757611782577,0.864473944917773,0.8749752328115712
FedDyn uniform,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedDyn uniform,accuracy,150,0.2674955419060829,0.2631484049930652,0.2748087973053299
FedDyn uniform,accuracy,300,0.7801882306320588,0.7758807212205272,0.7865444818704183
FedDyn uniform,accuracy,450,0.838311868436695,0.8344897959183674,0.8410699425401229
FedDyn uniform,accuracy,600,0.8567426193778482,0.8562968099861302,0.8575034674063801
FedDyn uniform,accuracy,750,0.8605693151046826,0.8577590647909649,0.8630097087378641
FedDyn uniform,accuracy,900,0.8649554190608283,0.862904695858926,0.8662017039825639
FedDyn uniform,accuracy,1050,0.8655207714153622,0.861656429562116,0.8704993065187239
FedDyn uniform,accuracy,1200,0.8669625520110956,0.8614999009312462,0.8708262334059838
FedDyn uniform,accuracy,1350,0.8673119344825309,0.8638597186447395,0.8704022191400833
FedDyn uniform,accuracy,1500,0.8680239085925634,0.8637031900138697,0.872173568456509
FedDyn uniform,client drift from server,0,0.0,0.0,0.0
FedDyn uniform,client drift from server,150,0.6766048516829809,0.651802585273981,0.6908746503293515
FedDyn uniform,client drift from server,300,0.49889758524795375,0.4890356645733118,0.5156820724904537
FedDyn uniform,client drift from server,450,0.2999920390546322,0.28175249218940734,0.3243115933984518
FedDyn uniform,client drift from server,600,0.19460354946553707,0.1907945681735873,0.20183945178985596
FedDyn uniform,client drift from server,750,0.15171270766605932,0.14576440386474132,0.15483476027846335
FedDyn uniform,client drift from server,900,0.12498343905434013,0.12354927683249116,0.1266149838268757
FedDyn uniform,client drift from server,1050,0.11337029511108994,0.10211686609312892,0.12429967204108834
FedDyn uniform,client drift from server,1200,0.0956273601576686,0.08621016783639789,0.10354686150327325
FedDyn uniform,client drift from server,1350,0.08647056714942059,0.07674854231998324,0.09295596873387695
FedDyn uniform,client drift from server,1500,0.07933911320442955,0.07897322518751025,0.07963332518935204
FedDyn data-size weighted,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedDyn data-size weighted,server accuracy,150,0.37758404332606826,0.37091341390925303,0.389934614622548
FedDyn data-size weighted,server accuracy,300,0.8142130638663231,0.811373092926491,0.8187041807014068
