algorithm,metric,x,y_mean,y_min,y_max
FedLT uniform,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedLT uniform,server accuracy,150,0.07106531933161614,0.06597978997424213,0.07965127798692292
FedLT uniform,server accuracy,300,0.3575061092398124,0.32236972458886465,0.38022587675847036
FedLT uniform,server accuracy,450,0.5903837263060564,0.5718248464434318,0.6068951852585694
FedLT uniform,server accuracy,600,0.7053034806155473,0.7004160887656034,0.711313651674262
FedLT uniform,server accuracy,750,0.7517337031900139,0.7469784030116902,0.7549039033088963
FedLT uniform,server accuracy,900,0.782246879334258,0.7792748167228056,0.7864077669902912
FedLT uniform,server accuracy,1050,0.8013341258833631,0.7992867049732514,0.8034475926292847
FedLT uniform,server accuracy,1200,0.8157321180899544,0.812760055478502,0.8173172181493957
FedLT uniform,server accuracy,1350,0.8245822600885014,0.8242520309094512,0.8248464434317416
FedLT uniform,server accuracy,1500,0.8326398520573278,0.8309887061620764,0.83534773132554
FedLT uniform,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedLT uniform,accuracy,150,0.04487748497457234,0.042657023974638386,0.04603328710124826
FedLT uniform,accuracy,300,0.23814345155537944,0.20811769367941352,0.2549613631860511
FedLT uniform,accuracy,450,0.48308632190740375,0.46611056072914603,0.4975014860313058
FedLT uniform,accuracy,600,0.598488871276666,0.5965940162472756,0.6004418466415692
FedLT uniform,accuracy,750,0.6556891882966779,0.6524787002179512,0.6608618981573212
FedLT uniform,accuracy,900,0.6943035466613829,0.6902516346344362,0.6973925104022191
FedLT uniform,accuracy,1050,0.7224456773000463,0.7210679611650487,0.7242817515355656
FedLT uniform,accuracy,1200,0.7341740968231952,0.7308004755300178,0.7380146621755498
FedLT uniform,accuracy,1350,0.7452737599894327,0.7389439270853972,0.7535050525064395
FedLT uniform,accuracy,1500,0.7532917244567732,0.7483356449375868,0.7569169803843869
FedLT uniform,client drift from server,0,0.0,0.0,0.0
FedLT uniform,client drift from server,150,2.3137039979298906,2.3088244867324828,2.3181881594657896
FedLT uniform,client drift from server,300,2.3148927243550617,2.310471498966217,2.3187689757347107
FedLT uniform,client drift from server,450,2.3681416376431783,2.3631197905540464,2.372609384059906
FedLT uniform,client drift from server,600,2.396676463286082,2.391611430644989,2.399422674179077
FedLT uniform,client drift from server,750,2.4214375416437783,2.4160418772697447,2.4252165579795837
FedLT uniform,client drift from server,900,2.4396195880572,2.431138262748718,2.4474424290657044
FedLT uniform,client drift from server,1050,2.451818863550822,2.4441073513031006,2.4572134971618653
FedLT uniform,client drift from server,1200,2.461544206937154,2.451762113571167,2.4671972155570985
FedLT uniform,client drift from server,1350,2.4725770314534508,2.467600793838501,2.476144006252289
FedLT uniform,client drift from server,1500,2.473804817199707,2.4641544651985168,2.4836643385887145
FedLT data-size weighted,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedLT data-size weighted,server accuracy,150,0.07687735288290073,0.06617792748167228,0.09173766594016247
FedLT data-size weighted,server accuracy,300,0.5173370319001388,0.5018823063205865,0.5272439072716465
FedLT data-size weighted,server accuracy,450,0.6660722541443762,0.6617792748167228,0.67089360015851
FedLT data-size weighted,server accuracy,600,0.7412324152962156,0.7376659401624728,0.7444026154150981
FedLT data-size weighted,server accuracy,750,0.782246879334258,0.7792748167228056,0.7838319793936992
FedLT data-size weighted,server accuracy,900,0.8023908592563238,0.8004755300178323,0.8060233802258767
FedLT data-size weighted,server accuracy,1050,0.8173832639852057,0.8095898553596196,0.8220725183277194
FedLT data-size weighted,server accuracy,1200,0.826431543491183,0.8252427184466019,0.8276203685357638
FedLT data-size weighted,server accuracy,1350,0.8375932897430817,0.8365365563701208,0.8395086189815733
FedLT data-size weighted,server accuracy,1500,0.8436034608017965,0.8412918565484446,0.8450564691896176
FedLT data-size weighted,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedLT data-size weighted,accuracy,150,0.061455650221253544,0.05519318406974439,0.0649455121854567
FedLT data-size weighted,accuracy,300,0.4070550161812297,0.39156726768377254,0.42351099663166236
FedLT data-size weighted,accuracy,450,0.5887794729542303,0.583994452149792,0.5981276005547851
FedLT data-size weighted,accuracy,600,0.6629000726504194,0.6588983554586884,0.6701129383792351
FedLT data-size weighted,accuracy,750,0.7078403011690112,0.70409946502873,0.7106399841489994
FedLT data-size weighted,accuracy,900,0.739533716399181,0.7371329502674854,0.7420348722013078
FedLT data-size weighted,accuracy,1050,0.7583039429363979,0.7574737467802656,0.7589320388349514
FedLT data-size weighted,accuracy,1200,0.7693699227263721,0.7664473944917773,0.7714166831781256
FedLT data-size weighted,accuracy,1350,0.7813750743015652,0.7766118486229443,0.7853695264513573
FedLT data-size weighted,accuracy,1500,0.7863767254474605,0.7807350901525659,0.7921200713295026
FedLT data-size weighted,client drift from server,0,0.0,0.0,0.0
FedLT data-size weighted,client drift from server,150,2.3216314935684204,2.3180003499984743,2.324238266944885
FedLT data-size weighted,client drift from server,300,2.316432796319326,2.311163568496704,2.3230087900161744
FedLT data-size weighted,client drift from server,450,2.3652136397361754,2.363971290588379,2.3659423422813415
FedLT data-size weighted,client drift from server,600,2.382384754816691,2.3781708669662476,2.3900424671173095
FedLT data-size weighted,client drift from server,750,2.3968304554621382,2.3917197513580324,2.401741740703583
FedLT data-size weighted,client drift from server,900,2.4032863132158915,2.399016661643982,2.406552002429962
FedLT data-size weighted,client drift from server,1050,2.4121165307362875,2.409508237838745,2.4147376346588136
FedLT data-size weighted,client drift from server,1200,2.408573913574219,2.40555650472641,2.4131765937805176
FedLT data-size weighted,client drift from server,1350,2.4146932578086853,2.4122397184371946,2.4169570660591124
FedLT data-size weighted,client drift from server,1500,2.416763598124186,2.4136603546142577,2.420304868221283
