algorithm,metric,x,y_mean,y_min,y_max
FedAdam uniform,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedAdam uniform,server accuracy,150,0.6133016313321445,0.6035268476322568,0.6195759857340994
FedAdam uniform,server accuracy,300,0.8136846971798427,0.8097879928670497,0.8171190806419655
FedAdam uniform,server accuracy,450,0.8473020276071593,0.8420844065781653,0.8510005944125223
FedAdam uniform,server accuracy,600,0.8655306782907338,0.8624925698434713,0.8692292450960967
FedAdam uniform,server accuracy,750,0.8678422825440856,0.8658609074697841,0.8702199326332475
FedAdam uniform,server accuracy,900,0.8671157783501751,0.8664553199920745,0.8684366950663761
FedAdam uniform,server accuracy,1050,0.8727296743940295,0.8708143451555379,0.8753715078264316
FedAdam uniform,server accuracy,1200,0.8715408493494485,0.8672478700217952,0.8769566078858728
FedAdam uniform,server accuracy,1350,0.8728617660656496,0.8672478700217952,0.8789379829601743
FedAdam uniform,server accuracy,1500,0.8767584703784426,0.8749752328115712,0.8783435704378839
FedAdam uniform,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedAdam uniform,accuracy,150,0.4598170530348062,0.45687735288290077,0.4631900138696255
FedAdam uniform,accuracy,300,0.7404458093917178,0.7360669704775114,0.7474737467802656
FedAdam uniform,accuracy,450,0.8057056997556304,0.7993164255993661,0.81107786804042
FedAdam uniform,accuracy,600,0.8310481474143055,0.8277570834158907,0.835086189815732
FedAdam uniform,accuracy,750,0.8428624265240078,0.8415216960570636,0.8438240538934021
FedAdam uniform,accuracy,900,0.8506023380225877,0.847739251040222,0.8527481672280564
FedAdam uniform,accuracy,1050,0.8548504061818901,0.852859124232217,0.8569229245096095
FedAdam uniform,accuracy,1200,0.8575080906148868,0.8556449375866851,0.8592767980978799
FedAdam uniform,accuracy,1350,0.8601717191731061,0.8598692292450961,0.8604022191400831
FedAdam uniform,accuracy,1500,0.862056667327125,0.8601763423816128,0.8633802258767586
FedAdam uniform,client drift from server,0,0.0,0.0,0.0
FedAdam uniform,client drift from server,150,0.573829614520073,0.5559154689311981,0.5915589579939842
FedAdam uniform,client drift from server,300,0.30470178407927356,0.3002929273992777,0.3078209988772869
FedAdam uniform,client drift from server,450,0.2369362056006988,0.22506962575018405,0.24893940702080727
FedAdam uniform,client drift from server,600,0.2007378013183673,0.1955342510342598,0.20836346842348574
FedAdam uniform,client drift from server,750,0.18475864781687656,0.18172531478106976,0.18664874508976936
FedAdam uniform,client drift from server,900,0.16817236064622798,0.16108164198696615,0.1766569286212325
FedAdam uniform,client drift from server,1050,0.15432120453566311,0.14680935692042113,0.16243152644485234
FedAdam uniform,client drift from server,1200,0.14556551591803632,0.14462507124990226,0.14649195063859224
FedAdam uniform,client drift from server,1350,0.1379230360252162,0.13465990828350186,0.14104773372411727
FedAdam uniform,client drift from server,1500,0.1316275480389595,0.12581229090690613,0.13914916183799506
FedAdam data-size weighted,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedAdam data-size weighted,server accuracy,150,0.6193778482266693,0.6086784228254408,0.631662373687339
FedAdam data-size weighted,server accuracy,300,0.8199590515817978,0.813948880523083,0.8242520309094512
FedAdam data-size weighted,server accuracy,450,0.8593884155603989,0.8567465821279968,0.8617000198137508
FedAdam data-size weighted,server accuracy,600,0.8745129119609009,0.8704180701406776,0.8789379829601743
FedAdam data-size weighted,server accuracy,750,0.8739845452744204,0.8712106201703983,0.8775510204081632
FedAdam data-size weighted,server accuracy,900,0.878409616273694,0.877154745393303,0.8799286704973251
FedAdam data-size weighted,server accuracy,1050,0.8792021663034145,0.8755696453338617,0.8821081830790569
FedAdam data-size weighted,server accuracy,1200,0.8790700746317945,0.8757677828412919,0.8823063205864871
FedAdam data-size weighted,server accuracy,1350,0.8815798163925764,0.877154745393303,0.8852783831979394
FedAdam data-size weighted,server accuracy,1500,0.8810514497060961,0.8803249455121854,0.8815137705567664
FedAdam data-size weighted,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedAdam data-size weighted,accuracy,150,0.473449574004359,0.4720943134535367,0.47578957796710925
FedAdam data-size weighted,accuracy,300,0.7548966382669574,0.7527184466019418,0.757049732514365
FedAdam data-size weighted,accuracy,450,0.8107859454461396,0.8095858926094709,0.8130968892411334
FedAdam data-size weighted,accuracy,600,0.8335519450498646,0.8318684366950664,0.8348840895581533
FedAdam data-size weighted,accuracy,750,0.8435545868832969,0.8406320586487023,0.8451337428175152
FedAdam data-size weighted,accuracy,900,0.8494247407700946,0.8490469585892609,0.8497305329898949
FedAdam data-size weighted,accuracy,1050,0.8538914206459283,0.8517990885674659,0.8553754705765801
FedAdam data-size weighted,accuracy,1200,0.8568423485899214,0.8552704576976423,0.8587319199524469
FedAdam data-size weighted,accuracy,1350,0.8589340202100256,0.8585397265702397,0.859429363978601
FedAdam data-size weighted,accuracy,1500,0.8606558351495938,0.8595224886070933,0.861662373687339
FedAdam data-size weighted,client drift from server,0,0.0,0.0,0.0
FedAdam data-size weighted,client drift from server,150,0.6132851678629717,0.5776630762219429,0.6425491341948509
FedAdam data-size weighted,client drift from server,300,0.3110907036066055,0.2944660038501024,0.32753084883093836
FedAdam data-size weighted,client drift from server,450,0.2533612511058649,0.25118398293852806,0.25722351543605326
FedAdam data-size weighted,client drift from server,600,0.22663923164208732,0.22240799114108087,0.22880911201238632
FedAdam data-size weighted,client drift from server,750,0.2107594625900189,0.20529331542551518,0.21829032309353352
FedAdam data-size weighted,client drift from server,900,0.19085288616518178,0.1875386830419302,0.19652273371815682
FedAdam data-size weighted,client drift from server,1050,0.1816005148862799,0.17390423122793436,0.1862933272123337
FedAdam data-size weighted,client drift from server,1200,0.16973058906694252,0.16171266235411166,0.17716363415122033
FedAdam data-size weighted,client drift from server,1350,0.16049303779999413,0.1570475048571825,0.16619443394243716
FedAdam data-size weighted,client drift from server,1500,0.1505710707604885,0.14340264290571214,0.16127253077924253
