algorithm,metric,x,y_mean,y_min,y_max
FedProx uniform,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedProx uniform,server accuracy,150,0.6275014860313057,0.612641172974044,0.6508817119080642
FedProx uniform,server accuracy,300,0.8000792550029722,0.7913612046760452,0.8060233802258767
FedProx uniform,server accuracy,450,0.839178389802523,0.8337626312660986,0.8446601941747572
FedProx uniform,server accuracy,600,0.8588600488739185,0.8537745195165445,0.8617000198137508
FedProx uniform,server accuracy,750,0.8646060365893931,0.862096294828611,0.8664553199920745
FedProx uniform,server accuracy,900,0.8650683574400634,0.8591242322171587,0.8712106201703983
FedProx uniform,server accuracy,1050,0.8741826827818505,0.87339013275213,0.874777095304141
FedProx uniform,server accuracy,1200,0.8744468661250909,0.87339013275213,0.8757677828412919
FedProx uniform,server accuracy,1350,0.8746450036325211,0.8700217951258173,0.8773528829007331
FedProx uniform,server accuracy,1500,0.87332408691632,0.8676441450366554,0.8765603328710125
FedProx uniform,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedProx uniform,accuracy,150,0.4144693217092663,0.406465226867446,0.4240855954032099
FedProx uniform,accuracy,300,0.7048847500165114,0.70269467010105,0.7062532197344957
FedProx uniform,accuracy,450,0.770105012878938,0.7694353081038241,0.7712066574202495
FedProx uniform,accuracy,600,0.797916253880193,0.793067168615019,0.8021042203289084
FedProx uniform,accuracy,750,0.8149745723532131,0.8128294036061026,0.8163285119873191
FedProx uniform,accuracy,900,0.8253966052440392,0.8239270853972654,0.8265821279968297
FedProx uniform,accuracy,1050,0.8331160425335181,0.8317693679413511,0.835032692688726
FedProx uniform,accuracy,1200,0.8394749356053098,0.8385357638200911,0.8411234396671287
FedProx uniform,accuracy,1350,0.8445882042137244,0.8427105211016445,0.8466078858727957
FedProx uniform,accuracy,1500,0.8484254672742884,0.8467980978799288,0.8500118882504458
FedProx uniform,client drift from server,0,0.0,0.0,0.0
FedProx uniform,client drift from server,150,0.831233969728152,0.8156336808204651,0.8604468956589699
FedProx uniform,client drift from server,300,0.5888327720761298,0.5821685853600502,0.5926360991597176
FedProx uniform,client drift from server,450,0.5293597708145777,0.5201012176275254,0.5392618572711945
FedProx uniform,client drift from server,600,0.4792007172107697,0.46521460860967634,0.49360270649194715
FedProx uniform,client drift from server,750,0.4502996450662613,0.4422397814691067,0.45832832336425783
FedProx uniform,client drift from server,900,0.42693505287170413,0.41556846410036086,0.44531804352998733
FedProx uniform,client drift from server,1050,0.40357716570297875,0.3946328476071358,0.4084778229892254
FedProx uniform,client drift from server,1200,0.3820955554644267,0.3794426383823156,0.3851078708469868
FedProx uniform,client drift from server,1350,0.37133714742958546,0.3676304012537003,0.377173638343811
FedProx uniform,client drift from server,1500,0.3535867405434449,0.3365255084633827,0.36849856823682786
FedProx data-size weighted,server accuracy,0,0.006736675252625322,0.006736675252625322,0.006736675252625322
FedProx data-size weighted,server accuracy,150,0.615150914734826,0.5993659599762236,0.6280958985535962
FedProx data-size weighted,server accuracy,300,0.8056271052110165,0.8036457301367149,0.8091935803447593
FedProx data-size weighted,server accuracy,450,0.8486889901591704,0.8476322567862097,0.8500099068753715
FedProx data-size weighted,server accuracy,600,0.8685027409021862,0.862096294828611,0.8718050326926887
FedProx data-size weighted,server accuracy,750,0.8773528829007331,0.875965920348722,0.879730532989895
FedProx data-size weighted,server accuracy,900,0.8830988706162076,0.8813156330493362,0.8854765207053695
FedProx data-size weighted,server accuracy,1050,0.8831649164520177,0.8811174955419061,0.8856746582127997
FedProx data-size weighted,server accuracy,1200,0.8848821081830791,0.8827025956013473,0.8876560332871013
FedProx data-size weighted,server accuracy,1350,0.8880523083019617,0.8868634832573806,0.8896374083614028
FedProx data-size weighted,server accuracy,1500,0.8870616207648108,0.8846839706756489,0.8890429958391124
FedProx data-size weighted,accuracy,0,0.006736675252625324,0.006736675252625323,0.006736675252625323
FedProx data-size weighted,accuracy,150,0.42118948550293905,0.41664553199920745,0.42646720824252043
FedProx data-size weighted,accuracy,300,0.714689914800872,0.7143114721616801,0.714945512185457
FedProx data-size weighted,accuracy,450,0.7785886004887391,0.7759837527243907,0.7810441846641567
FedProx data-size weighted,accuracy,600,0.8043101512449641,0.8007766990291262,0.8066534574995048
FedProx data-size weighted,accuracy,750,0.816695726834423,0.8128492173568458,0.8218961759461065
FedProx data-size weighted,accuracy,900,0.8259830922660325,0.8249316425599365,0.8265266494947493
FedProx data-size weighted,accuracy,1050,0.8313367677167957,0.8310699425401229,0.8317020011888252
FedProx data-size weighted,accuracy,1200,0.8409563437025297,0.8388072122052705,0.842987913612047
FedProx data-size weighted,accuracy,1350,0.845637012086388,0.839506637606499,0.8487873984545274
FedProx data-size weighted,accuracy,1500,0.8499550888316492,0.848541707945314,0.8518664553199922
FedProx data-size weighted,client drift from server,0,0.0,0.0,0.0
FedProx data-size weighted,client drift from server,150,0.8590062906344732,0.8465444135665894,0.8652653157711029
FedProx data-size weighted,client drift from server,300,0.6296867354710898,0.6067712077498436,0.6457575115561486
FedProx data-size weighted,client drift from server,450,0.5545748208463191,0.5519479508697986,0.55955552816391
FedProx data-size weighted,client drift from server,600,0.5331170439720153,0.523003958016634,0.5438674764335155
FedProx data-size weighted,client drift from server,750,0.523731302122275,0.5064886647462845,0.5354330585896969
FedProx data-size weighted,client drift from server,900,0.48769463737805685,0.4842547605931759,0.48980494335293767
FedProx data-size weighted,client drift from server,1050,0.47888315692543976,0.4699990952014923,0.48630925178527834
FedProx data-size weighted,client drift from server,1200,0.4504211413363615,0.44378710076212885,0.4604824563860893
FedProx data-size weighted,client drift from server,1350,0.43902272219459215,0.4222856965661049,0.4507748617231846
FedProx data-size weighted,client drift from server,1500,0.41710286259651186,0.40995762050151824,0.4283417566120625
