client_index,quantity_group,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
0,large,f0008_45,418,62,334,84,"{""0"": 13, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 12, ""5"": 8, ""6"": 12, ""7"": 13, ""8"": 11, ""9"": 10, ""10"": 2, ""11"": 1, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 25, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 5, ""30"": 10, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 13, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 20, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
1,large,f0010_18,436,55,349,87,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 15, ""11"": 5, ""12"": 7, ""13"": 11, ""14"": 39, ""15"": 10, ""16"": 1, ""17"": 8, ""18"": 11, ""19"": 2, ""21"": 10, ""22"": 8, ""23"": 17, ""24"": 26, ""25"": 7, ""27"": 21, ""28"": 22, ""29"": 23, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 2, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 2, ""53"": 1, ""55"": 8, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
2,large,f0011_13,425,59,340,85,"{""0"": 12, ""1"": 12, ""2"": 10, ""3"": 13, ""4"": 10, ""5"": 12, ""6"": 11, ""7"": 13, ""8"": 10, ""9"": 11, ""10"": 13, ""11"": 5, ""12"": 10, ""13"": 10, ""14"": 35, ""15"": 9, ""17"": 8, ""18"": 8, ""19"": 2, ""21"": 8, ""22"": 8, ""23"": 18, ""24"": 26, ""25"": 8, ""26"": 1, ""27"": 21, ""28"": 22, ""29"": 28, ""30"": 10, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 21, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 2, ""54"": 1, ""55"": 3, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
3,large,f0017_07,424,61,339,85,"{""0"": 13, ""1"": 14, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 11, ""6"": 12, ""7"": 12, ""8"": 13, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 3, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 3, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 4, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 38, ""41"": 1, ""42"": 2, ""43"": 11, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 13, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 19, ""54"": 1, ""55"": 26, ""56"": 2, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
4,large,f0023_08,418,59,334,84,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 12, ""4"": 13, ""5"": 10, ""6"": 12, ""7"": 12, ""8"": 10, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 3, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 12, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 14, ""37"": 3, ""39"": 8, ""40"": 32, ""42"": 3, ""43"": 10, ""44"": 1, ""46"": 1, ""47"": 26, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 20, ""54"": 1, ""55"": 19, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
5,large,f0027_29,446,58,357,89,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 11, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 13, ""11"": 2, ""12"": 8, ""13"": 3, ""14"": 3, ""15"": 10, ""17"": 3, ""18"": 17, ""19"": 1, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 7, ""24"": 26, ""25"": 7, ""27"": 17, ""28"": 22, ""29"": 13, ""30"": 11, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 4, ""37"": 4, ""39"": 10, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 8, ""50"": 2, ""51"": 1, ""52"": 2, ""53"": 3, ""54"": 1, ""55"": 18, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
6,large,f0035_19,416,59,333,83,"{""0"": 13, ""1"": 15, ""2"": 13, ""3"": 13, ""4"": 10, ""5"": 11, ""6"": 10, ""7"": 12, ""8"": 13, ""9"": 9, ""10"": 2, ""11"": 1, ""12"": 8, ""13"": 4, ""14"": 6, ""15"": 9, ""16"": 1, ""18"": 17, ""19"": 2, ""20"": 1, ""21"": 4, ""22"": 7, ""23"": 5, ""24"": 23, ""25"": 5, ""26"": 1, ""27"": 2, ""28"": 22, ""29"": 20, ""30"": 9, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 34, ""41"": 1, ""42"": 1, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 13, ""50"": 1, ""52"": 1, ""53"": 13, ""54"": 1, ""55"": 8, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
7,large,f0046_20,430,59,344,86,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 10, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 1, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 10, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 6, ""26"": 1, ""28"": 20, ""29"": 7, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 13, ""37"": 4, ""38"": 2, ""39"": 11, ""40"": 36, ""41"": 1, ""42"": 3, ""43"": 14, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 19, ""54"": 1, ""55"": 22, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
8,large,f0054_14,428,60,342,86,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 12, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 12, ""8"": 12, ""9"": 13, ""10"": 6, ""11"": 1, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 20, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 3, ""24"": 25, ""25"": 6, ""26"": 1, ""28"": 22, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 36, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 17, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 26, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
9,large,f0066_37,428,62,342,86,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 11, ""10"": 15, ""11"": 5, ""12"": 10, ""13"": 12, ""14"": 34, ""15"": 8, ""16"": 1, ""17"": 9, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 10, ""22"": 8, ""23"": 17, ""24"": 25, ""25"": 6, ""26"": 1, ""27"": 20, ""28"": 22, ""29"": 25, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 11, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 5, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
