writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
f0000_14,382,57,306,76,"{""0"": 12, ""1"": 11, ""2"": 11, ""3"": 12, ""4"": 9, ""5"": 8, ""6"": 10, ""7"": 11, ""8"": 9, ""9"": 11, ""10"": 9, ""11"": 2, ""12"": 10, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 1, ""18"": 10, ""19"": 2, ""21"": 3, ""22"": 8, ""23"": 9, ""24"": 24, ""25"": 7, ""27"": 8, ""28"": 20, ""29"": 7, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 4, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 31, ""41"": 1, ""42"": 1, ""43"": 9, ""44"": 1, ""46"": 1, ""47"": 21, ""48"": 1, ""49"": 6, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 8, ""54"": 1, ""55"": 22, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0001_41,413,59,330,83,"{""0"": 12, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 10, ""6"": 13, ""7"": 13, ""8"": 10, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 3, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 17, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 8, ""30"": 12, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 4, ""39"": 11, ""40"": 29, ""42"": 3, ""43"": 11, ""44"": 1, ""46"": 1, ""47"": 12, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 21, ""54"": 1, ""55"": 21, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0002_01,404,61,323,81,"{""0"": 10, ""1"": 12, ""2"": 10, ""3"": 13, ""4"": 11, ""5"": 9, ""6"": 8, ""7"": 11, ""8"": 12, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 4, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 7, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 5, ""40"": 36, ""41"": 1, ""42"": 4, ""43"": 8, ""44"": 1, ""46"": 1, ""47"": 22, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 4, ""53"": 17, ""54"": 1, ""55"": 20, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0003_42,397,61,318,79,"{""0"": 11, ""1"": 11, ""2"": 7, ""3"": 11, ""4"": 9, ""5"": 12, ""6"": 10, ""7"": 10, ""8"": 11, ""9"": 8, ""10"": 1, ""11"": 1, ""12"": 12, ""13"": 3, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 9, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 5, ""38"": 1, ""39"": 10, ""40"": 28, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 13, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 22, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0004_09,315,56,252,63,"{""0"": 10, ""1"": 10, ""2"": 7, ""3"": 7, ""4"": 7, ""5"": 6, ""6"": 7, ""7"": 8, ""8"": 8, ""9"": 3, ""10"": 4, ""11"": 1, ""12"": 12, ""13"": 1, ""15"": 6, ""17"": 1, ""18"": 15, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 22, ""25"": 5, ""27"": 1, ""28"": 16, ""29"": 3, ""30"": 9, ""31"": 3, ""32"": 1, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 7, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 11, ""42"": 1, ""43"": 6, ""45"": 1, ""46"": 1, ""47"": 18, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 17, ""54"": 1, ""55"": 16, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0005_26,351,57,281,70,"{""0"": 6, ""1"": 12, ""2"": 7, ""3"": 9, ""4"": 8, ""5"": 7, ""6"": 6, ""7"": 9, ""8"": 8, ""9"": 10, ""10"": 4, ""11"": 2, ""12"": 5, ""13"": 3, ""14"": 2, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 1, ""21"": 1, ""22"": 5, ""23"": 2, ""24"": 24, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 2, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 5, ""36"": 8, ""37"": 2, ""38"": 1, ""39"": 6, ""40"": 33, ""42"": 1, ""43"": 8, ""44"": 1, ""46"": 1, ""47"": 21, ""48"": 1, ""49"": 13, ""51"": 1, ""52"": 3, ""53"": 18, ""54"": 1, ""55"": 22, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0006_12,380,62,304,76,"{""0"": 10, ""1"": 13, ""2"": 12, ""3"": 10, ""4"": 12, ""5"": 8, ""6"": 11, ""7"": 13, ""8"": 13, ""9"": 10, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 20, ""19"": 4, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 1, ""24"": 21, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 4, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 14, ""41"": 1, ""42"": 2, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 12, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 14, ""54"": 1, ""55"": 24, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0007_14,375,57,300,75,"{""0"": 10, ""1"": 12, ""2"": 10, ""3"": 12, ""4"": 11, ""5"": 9, ""6"": 8, ""7"": 10, ""8"": 9, ""9"": 10, ""10"": 13, ""11"": 2, ""12"": 9, ""13"": 1, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 1, ""21"": 9, ""22"": 8, ""23"": 17, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 14, ""28"": 22, ""29"": 14, ""30"": 9, ""31"": 2, ""32"": 1, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 31, ""41"": 1, ""42"": 1, ""43"": 7, ""45"": 1, ""46"": 1, ""47"": 21, ""48"": 1, ""49"": 1, ""51"": 1, ""53"": 1, ""54"": 1, ""55"": 2, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0008_45,418,62,334,84,"{""0"": 13, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 12, ""5"": 8, ""6"": 12, ""7"": 13, ""8"": 11, ""9"": 10, ""10"": 2, ""11"": 1, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 25, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 5, ""30"": 10, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 13, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 20, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0009_06,377,61,302,75,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 13, ""6"": 13, ""7"": 12, ""8"": 12, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 12, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 7, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 6, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 7, ""41"": 1, ""42"": 3, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 16, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
f0010_18,436,55,349,87,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 15, ""11"": 5, ""12"": 7, ""13"": 11, ""14"": 39, ""15"": 10, ""16"": 1, ""17"": 8, ""18"": 11, ""19"": 2, ""21"": 10, ""22"": 8, ""23"": 17, ""24"": 26, ""25"": 7, ""27"": 21, ""28"": 22, ""29"": 23, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 2, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 2, ""53"": 1, ""55"": 8, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0011_13,425,59,340,85,"{""0"": 12, ""1"": 12, ""2"": 10, ""3"": 13, ""4"": 10, ""5"": 12, ""6"": 11, ""7"": 13, ""8"": 10, ""9"": 11, ""10"": 13, ""11"": 5, ""12"": 10, ""13"": 10, ""14"": 35, ""15"": 9, ""17"": 8, ""18"": 8, ""19"": 2, ""21"": 8, ""22"": 8, ""23"": 18, ""24"": 26, ""25"": 8, ""26"": 1, ""27"": 21, ""28"": 22, ""29"": 28, ""30"": 10, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 21, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 2, ""54"": 1, ""55"": 3, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0012_39,308,57,246,62,"{""0"": 8, ""1"": 12, ""2"": 7, ""3"": 10, ""4"": 6, ""5"": 7, ""6"": 7, ""7"": 9, ""8"": 9, ""9"": 9, ""10"": 1, ""11"": 2, ""12"": 5, ""13"": 2, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 1, ""24"": 19, ""25"": 5, ""26"": 1, ""28"": 13, ""29"": 1, ""30"": 10, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 2, ""36"": 8, ""37"": 2, ""38"": 1, ""39"": 10, ""40"": 25, ""41"": 1, ""42"": 2, ""43"": 4, ""44"": 1, ""46"": 1, ""47"": 24, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 16, ""54"": 1, ""55"": 15, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
