label,class_name,total_samples,train_samples,test_samples
0,0,40365,32323,8042
1,1,44706,35537,9169
2,2,40072,32035,8037
3,3,41112,32831,8281
4,4,39154,31445,7709
5,5,36606,29393,7213
6,6,39937,31974,7963
7,7,41893,33483,8410
8,8,39579,31752,7827
9,9,39533,31686,7847
10,A,7469,5980,1489
11,B,4526,3648,878
12,C,11834,9475,2359
13,D,5343,4296,1047
14,E,5785,4648,1137
15,F,10623,8424,2199
16,G,2964,2381,583
17,H,3673,2954,719
18,I,13994,11212,2782
19,J,4389,3453,936
20,K,2850,2314,536
21,L,5886,4676,1210
22,M,10487,8436,2051
23,N,9588,7697,1891
24,O,29139,23267,5872
25,P,9744,7810,1934
26,Q,3018,2431,587
27,R,5882,4737,1145
28,S,24272,19378,4894
29,T,11396,9117,2279
30,U,14604,11726,2878
31,V,5434,4338,1096
32,W,5501,4392,1109
33,X,3203,2567,636
34,Y,5541,4433,1108
35,Z,3166,2557,609
36,a,11677,9318,2359
37,b,6012,4807,1205
38,c,3287,2650,637
39,d,11860,9440,2420
40,e,28724,22910,5814
41,f,2962,2365,597
42,g,4276,3391,885
43,h,10217,8167,2050
44,i,3152,2546,606
45,j,2214,1768,446
46,k,2957,2354,603
47,l,17853,14237,3616
48,m,3109,2486,623
49,n,13318,10645,2673
50,o,3215,2584,631
51,p,2816,2259,557
52,q,3500,2816,684
53,r,16428,13148,3280
54,s,3136,2531,605
55,t,21227,16968,4259
56,u,3312,2627,685
57,v,3378,2675,703
58,w,3164,2542,622
59,x,3292,2646,646
60,y,2746,2229,517
61,z,3177,2530,647
